,AGTP_ch4
402,8.257440233337058e-15
403,8.219513800785233e-15
404,8.181879180623488e-15
405,8.144534018141303e-15
406,8.107475977590314e-15
407,8.070702742041757e-15
408,8.034212013244669e-15
409,7.998001511484804e-15
410,7.962068975444345e-15
411,7.926412162062328e-15
412,7.89102884639588e-15
413,7.855916821482184e-15
414,7.82107389820124e-15
415,7.78649790513941e-15
416,7.752186688453717e-15
417,7.718138111736972e-15
418,7.684350055883648e-15
419,7.650820418956585e-15
420,7.61754711605446e-15
421,7.584528079180075e-15
422,7.551761257109434e-15
423,7.51924461526164e-15
424,7.486976135569558e-15
425,7.454953816351337e-15
426,7.423175672182687e-15
427,7.391639733769992e-15
428,7.36034404782424e-15
429,7.329286676935728e-15
430,7.298465699449603e-15
431,7.267879209342207e-15
432,7.237525316098223e-15
433,7.20740214458864e-15
434,7.177507834949518e-15
435,7.147840542461565e-15
436,7.11839843743052e-15
437,7.089179705068337e-15
438,7.060182545375186e-15
439,7.031405173022246e-15
440,7.0028458172353e-15
441,6.974502721679133e-15
442,6.946374144342734e-15
443,6.918458357425295e-15
444,6.890753647222983e-15
445,6.863258314016537e-15
446,6.835970671959634e-15
447,6.8088890489680495e-15
448,6.782011786609609e-15
449,6.7553372399949106e-15
450,6.728863777668841e-15
451,6.7025897815028565e-15
452,6.6765136465880656e-15
453,6.650633781129045e-15
454,6.624948606338453e-15
455,6.5994565563324145e-15
456,6.574156078026633e-15
457,6.5490456310333125e-15
458,6.524123687558791e-15
459,6.499388732301969e-15
460,6.474839262353448e-15
461,6.450473787095442e-15
462,6.4262908281024326e-15
463,6.402288919042558e-15
464,6.378466605579726e-15
465,6.354822445276489e-15
466,6.3313550074976146e-15
467,6.308062873314417e-15
468,6.284944635409785e-15
469,6.261998897983927e-15
470,6.239224276660859e-15
471,6.2166193983955616e-15
472,6.194182901381881e-15
473,6.171913434961112e-15
474,6.149809659531285e-15
475,6.127870246457144e-15
476,6.10609387798083e-15
477,6.0844792471332305e-15
478,6.0630250576460354e-15
479,6.041730023864443e-15
480,6.020592870660574e-15
481,5.999612333347523e-15
482,5.9787871575941154e-15
483,5.958116099340285e-15
484,5.93759792471314e-15
485,5.917231409943679e-15
486,5.8970153412841454e-15
487,5.8769485149260384e-15
488,5.857029736918769e-15
489,5.8372578230889475e-15
490,5.817631598960299e-15
491,5.798149899674233e-15
492,5.778811569911013e-15
493,5.759615463811556e-15
494,5.740560444899866e-15
495,5.7216453860060495e-15
496,5.702869169189975e-15
497,5.684230685665507e-15
498,5.665728835725367e-15
499,5.6473625286665796e-15
500,5.629130682716506e-15
501,5.611032224959475e-15
502,5.593066091264006e-15
503,5.575231226210602e-15
504,5.557526583020109e-15
505,5.539951123482686e-15
506,5.522503817887293e-15
507,5.505183644951798e-15
508,5.48798959175359e-15
509,5.4709206536608e-15
510,5.453975834264042e-15
511,5.437154145308705e-15
512,5.42045460662781e-15
513,5.403876246075392e-15
514,5.387418099460421e-15
515,5.371079210481255e-15
516,5.3548586306606346e-15
517,5.3387554192811845e-15
518,5.322768643321455e-15
519,5.3068973773924676e-15
520,5.291140703674779e-15
521,5.27549771185606e-15
522,5.259967499069172e-15
523,5.244549169830753e-15
524,5.2292418359803035e-15
525,5.214044616619761e-15
526,5.198956638053567e-15
527,5.18397703372923e-15
528,5.169104944178361e-15
529,5.1543395169582014e-15
530,5.139679906593613e-15
531,5.1251252745195535e-15
532,5.110674789024021e-15
533,5.0963276251914535e-15
534,5.082082964846603e-15
535,5.067939996498866e-15
536,5.0538979152870546e-15
537,5.0399559229246425e-15
538,5.026113227645449e-15
539,5.0123690441497594e-15
540,4.998722593550899e-15
541,4.985173103322238e-15
542,4.971719807244636e-15
543,4.958361945354321e-15
544,4.94509876389117e-15
545,4.931929515247461e-15
546,4.9188534579169986e-15
547,4.905869856444689e-15
548,4.892977981376518e-15
549,4.880177109209936e-15
550,4.867466522344663e-15
551,4.8548455090338864e-15
552,4.842313363335871e-15
553,4.8298693850659565e-15
554,4.817512879748964e-15
555,4.805243158571977e-15
556,4.79305953833753e-15
557,4.78096134141717e-15
558,4.7689478957054096e-15
559,4.757018534574049e-15
560,4.7451725968268875e-15
561,4.733409426654802e-15
562,4.721728373591197e-15
563,4.710128792467819e-15
564,4.698610043370948e-15
565,4.6871714915979385e-15
566,4.6758125076141195e-15
567,4.66453246701006e-15
568,4.653330750459187e-15
569,4.6422067436757415e-15
570,4.631159837373096e-15
571,4.6201894272224065e-15
572,4.609294913811622e-15
573,4.598475702604818e-15
574,4.587731203901861e-15
575,4.577060832798437e-15
576,4.566464009146378e-15
577,4.555940157514336e-15
578,4.545488707148776e-15
579,4.535109091935299e-15
580,4.52480075036027e-15
581,4.514563125472787e-15
582,4.504395664846944e-15
583,4.4942978205444206e-15
584,4.484269049077371e-15
585,4.4743088113716376e-15
586,4.464416572730245e-15
587,4.454591802797222e-15
588,4.444833975521709e-15
589,4.4351425691223655e-15
590,4.425517066052077e-15
591,4.415956952962947e-15
592,4.406461720671593e-15
593,4.397030864124714e-15
594,4.387663882364961e-15
595,4.378360278497075e-15
596,4.369119559654316e-15
597,4.359941236965171e-15
598,4.350824825520332e-15
599,4.341769844339955e-15
600,4.33277581634119e-15
601,4.3238422683059725e-15
602,4.314968730849097e-15
603,4.306154738386544e-15
604,4.2973998291040765e-15
605,4.288703544926093e-15
606,4.2800654314847445e-15
607,4.2714850380893036e-15
608,4.262961917695793e-15
609,4.254495626876862e-15
610,4.246085725791913e-15
611,4.237731778157486e-15
612,4.229433351217875e-15
613,4.221190015715998e-15
614,4.213001345864512e-15
615,4.2048669193171555e-15
616,4.196786317140343e-15
617,4.188759123784989e-15
618,4.180784927058568e-15
619,4.1728633180974055e-15
620,4.164993891339202e-15
621,4.157176244495779e-15
622,4.149409978526069e-15
623,4.141694697609306e-15
624,4.134030009118458e-15
625,4.126415523593869e-15
626,4.118850854717132e-15
627,4.111335619285168e-15
628,4.103869437184525e-15
629,4.0964519313658955e-15
630,4.08908272781884e-15
631,4.081761455546717e-15
632,4.074487746541839e-15
633,4.067261235760814e-15
634,4.060081561100109e-15
635,4.052948363371803e-15
636,4.0458612862795525e-15
637,4.0388199763947554e-15
638,4.031824083132911e-15
639,4.0248732587301695e-15
640,4.017967158220094e-15
641,4.011105439410603e-15
642,4.004287762861105e-15
643,3.99751379185983e-15
644,3.990783192401342e-15
645,3.984095633164252e-15
646,3.977450785489098e-15
647,3.9708483233564214e-15
648,3.964287923365026e-15
649,3.957769264710409e-15
650,3.951292029163388e-15
651,3.944855901048882e-15
652,3.938460567224896e-15
653,3.932105717061657e-15
654,3.925791042420941e-15
655,3.919516237635559e-15
656,3.913280999489025e-15
657,3.907085027195386e-15
658,3.900928022379218e-15
659,3.8948096890558005e-15
660,3.88872973361144e-15
661,3.88268786478397e-15
662,3.876683793643411e-15
663,3.870717233572778e-15
664,3.864787900249071e-15
665,3.858895511624406e-15
666,3.85303978790731e-15
667,3.847220451544168e-15
668,3.841437227200827e-15
669,3.835689841744358e-15
670,3.8299780242249595e-15
671,3.824301505858014e-15
672,3.818660020006305e-15
673,3.8130533021623664e-15
674,3.8074810899309896e-15
675,3.8019431230118716e-15
676,3.796439143182407e-15
677,3.7909688942806255e-15
678,3.785532122188272e-15
679,3.780128574814023e-15
680,3.774758002076849e-15
681,3.76942015588951e-15
682,3.764114790142186e-15
683,3.75884166068626e-15
684,3.753600525318207e-15
685,3.748391143763654e-15
686,3.743213277661529e-15
687,3.7380666905483895e-15
688,3.7329511478428376e-15
689,3.727866416830096e-15
690,3.722812266646695e-15
691,3.717788468265296e-15
692,3.712794794479636e-15
693,3.707831019889597e-15
694,3.702896920886409e-15
695,3.697992275637958e-15
696,3.693116864074233e-15
697,3.6882704678728936e-15
698,3.6834528704449355e-15
699,3.67866385692051e-15
700,3.673903214134831e-15
701,3.6691707306142145e-15
702,3.66446619656223e-15
703,3.659789403845974e-15
704,3.655140145982438e-15
705,3.65051821812502e-15
706,3.6459234170501155e-15
707,3.641355541143848e-15
708,3.636814390388891e-15
709,3.6322997663514074e-15
710,3.627811472168098e-15
711,3.623349312533352e-15
712,3.6189130936865155e-15
713,3.614502623399249e-15
714,3.6101177109630035e-15
715,3.6057581671766005e-15
716,3.601423804333903e-15
717,3.597114436211604e-15
718,3.592829878057107e-15
719,3.58856994657651e-15
720,3.584334459922685e-15
721,3.5801232376834694e-15
722,3.575936100869936e-15
723,3.571772871904783e-15
724,3.567633374610795e-15
725,3.563517434199424e-15
726,3.559424877259451e-15
727,3.555355531745742e-15
728,3.5513092269681037e-15
729,3.54728579358023e-15
730,3.543285063568736e-15
731,3.5393068702422845e-15
732,3.53535104822081e-15
733,3.531417433424823e-15
734,3.527505863064801e-15
735,3.5236161756306838e-15
736,3.5197482108814353e-15
737,3.515901809834708e-15
738,3.5120768147565806e-15
739,3.508273069151397e-15
740,3.5044904177516677e-15
741,3.5007287065080755e-15
742,3.4969877825795535e-15
743,3.493267494323446e-15
744,3.4895676912857534e-15
745,3.485888224191457e-15
746,3.482228944934922e-15
747,3.478589706570389e-15
748,3.474970363302529e-15
749,3.4713707704770906e-15
750,3.467790784571617e-15
751,3.4642302631862434e-15
752,3.4606890650345714e-15
753,3.457167049934612e-15
754,3.4536640787998154e-15
