,AGTP_ch4
180,2.989903147169819e-14
181,2.969299063834591e-14
182,2.9488234679587216e-14
183,2.9284764288603516e-14
184,2.908257983285505e-14
185,2.888168136579197e-14
186,2.868206863821447e-14
187,2.8483741109292366e-14
188,2.8286697957253543e-14
189,2.8090938089751152e-14
190,2.7896460153918548e-14
191,2.7703262546121047e-14
192,2.7511343421413265e-14
193,2.7320700702710483e-14
194,2.7131332089682167e-14
195,2.694323506737591e-14
196,2.6756406914579227e-14
197,2.6570844711927037e-14
198,2.6386545349762017e-14
199,2.620350553575493e-14
200,2.602172180229201e-14
201,2.5841190513635865e-14
202,2.566190787286677e-14
203,2.5483869928610284e-14
204,2.530707258155773e-14
205,2.5131511590785317e-14
206,2.495718257987772e-14
207,2.4784081042861912e-14
208,2.4612202349956532e-14
209,2.4441541753142295e-14
210,2.427209439155858e-14
211,2.4103855296731086e-14
212,2.3936819397635744e-14
213,2.377098152560331e-14
214,2.3606336419069434e-14
215,2.344287872817474e-14
216,2.3280603019219042e-14
217,2.3119503778974214e-14
218,2.2959575418859596e-14
219,2.280081227898399e-14
220,2.264320863205832e-14
221,2.24867586871823e-14
222,2.2331456593509285e-14
223,2.2177296443792427e-14
224,2.202427227781588e-14
225,2.1872378085714253e-14
226,2.1721607811183633e-14
227,2.1571955354587377e-14
228,2.1423414575959684e-14
229,2.1275979297909957e-14
230,2.1129643308430934e-14
231,2.098440036361331e-14
232,2.0840244190269637e-14
233,2.0697168488470203e-14
234,2.0555166933993385e-14
235,2.041423318069316e-14
236,2.027436086278595e-14
237,2.0135543597059503e-14
238,1.9997774985005815e-14
239,1.9861048614880555e-14
240,1.9725358063691034e-14
241,1.9590696899114904e-14
242,1.9457058681351608e-14
243,1.9324436964908623e-14
244,1.91928253003243e-14
245,1.9062217235829458e-14
246,1.89326063189492e-14
247,1.8803986098047053e-14
248,1.8676350123812997e-14
249,1.8549691950697007e-14
250,1.8424005138289977e-14
251,1.8299283252653264e-14
252,1.8175519867598753e-14
253,1.8052708565920642e-14
254,1.7930842940580566e-14
255,1.7809916595847428e-14
256,1.768992314839328e-14
257,1.757085622834664e-14
258,1.7452709480304423e-14
259,1.7335476564303958e-14
260,1.7219151156756027e-14
261,1.7103726951340348e-14
262,1.6989197659864538e-14
263,1.6875557013087705e-14
264,1.676279876150968e-14
265,1.665091667612716e-14
266,1.6539904549157447e-14
267,1.6429756194731093e-14
268,1.6320465449554294e-14
269,1.6212026173541835e-14
270,1.6104432250421814e-14
271,1.5997677588312675e-14
272,1.5891756120273705e-14
273,1.578666180482961e-14
274,1.5682388626470134e-14
275,1.557893059612542e-14
276,1.5476281751617903e-14
277,1.5374436158091497e-14
278,1.5273387908418764e-14
279,1.5173131123586778e-14
280,1.507365995306237e-14
281,1.4974968575137408e-14
282,1.4877051197254745e-14
283,1.4779902056315505e-14
284,1.4683515418968184e-14
285,1.4587885581880363e-14
286,1.4493006871993357e-14
287,1.439887364676055e-14
288,1.4305480294369885e-14
289,1.4212821233950945e-14
290,1.4120890915767332e-14
291,1.4029683821394554e-14
292,1.3939194463884236e-14
293,1.3849417387914782e-14
294,1.3760347169929162e-14
295,1.3671978418260207e-14
296,1.3584305773243758e-14
297,1.3497323907320211e-14
298,1.3411027525124722e-14
299,1.3325411363566556e-14
300,1.3240470191897917e-14
301,1.315619881177263e-14
302,1.3072592057295013e-14
303,1.2989644795059333e-14
304,1.2907351924180063e-14
305,1.2825708376313467e-14
306,1.2744709115670563e-14
307,1.2664349139022007e-14
308,1.258462347569507e-14
309,1.2505527187562971e-14
310,1.242705536902697e-14
311,1.2349203146991317e-14
312,1.2271965680831515e-14
313,1.2195338162355961e-14
314,1.2119315815761321e-14
315,1.2043893897581904e-14
316,1.1969067696633131e-14
317,1.1894832533949495e-14
318,1.1821183762717053e-14
319,1.1748116768200844e-14
320,1.167562696766727e-14
321,1.160370981030176e-14
322,1.1532360777121816e-14
323,1.1461575380885744e-14
324,1.1391349165997094e-14
325,1.1321677708405135e-14
326,1.1252556615501438e-14
327,1.1183981526012787e-14
328,1.1115948109890528e-14
329,1.104845206819655e-14
330,1.0981489132986023e-14
331,1.0915055067187072e-14
332,1.0849145664477496e-14
333,1.0783756749158646e-14
334,1.0718884176026678e-14
335,1.0654523830241185e-14
336,1.059067162719151e-14
337,1.0527323512360623e-14
338,1.0464475461186896e-14
339,1.0402123478923793e-14
340,1.0340263600497531e-14
341,1.0278891890362936e-14
342,1.0218004442357524e-14
343,1.0157597379553904e-14
344,1.0097666854110604e-14
345,1.0038209047121454e-14
346,9.979220168463555e-15
347,9.920696456643964e-15
348,9.862634178645146e-15
349,9.805029629769304e-15
350,9.74787913348164e-15
351,9.691179041252646e-15
352,9.634925732399498e-15
353,9.579115613926555e-15
354,9.523745120365176e-15
355,9.468810713612734e-15
356,9.414308882771104e-15
357,9.360236143984458e-15
358,9.306589040276623e-15
359,9.253364141387955e-15
360,9.20055804361178e-15
361,9.148167369630524e-15
362,9.096188768351516e-15
363,9.04461891474258e-15
364,8.993454509667353e-15
365,8.942692279720513e-15
366,8.892328977062882e-15
367,8.842361379256438e-15
368,8.792786289099343e-15
369,8.743600534460934e-15
370,8.694800968116807e-15
371,8.646384467583985e-15
372,8.598347934956211e-15
373,8.55068829673938e-15
374,8.503402503687211e-15
375,8.456487530637096e-15
376,8.409940376346254e-15
377,8.363758063328138e-15
378,8.317937637689165e-15
379,8.27247616896581e-15
380,8.227370749962032e-15
381,8.18261849658714e-15
382,8.13821654769403e-15
383,8.094162064917918e-15
384,8.050452232515487e-15
385,8.007084257204544e-15
386,7.96405536800419e-15
387,7.921362816075512e-15
388,7.879003874562806e-15
389,7.83697583843538e-15
390,7.795276024329932e-15
391,7.753901770393517e-15
392,7.71285043612715e-15
393,7.67211940223e-15
394,7.631706070444271e-15
395,7.59160786340069e-15
396,7.551822224464696e-15
397,7.51234661758331e-15
398,7.473178527132679e-15
399,7.43431545776634e-15
400,7.395754934264187e-15
401,7.357494501382164e-15
402,7.319531723702701e-15
403,7.28186418548589e-15
404,7.244489490521401e-15
405,7.207405261981163e-15
406,7.170609142272816e-15
407,7.134098792893937e-15
408,7.097871894287046e-15
409,7.061926145695379e-15
410,7.026259265019489e-15
411,6.990868988674606e-15
412,6.955753071448836e-15
413,6.920909286362139e-15
414,6.8863354245261256e-15
415,6.8520292950046854e-15
416,6.817988724675401e-15
417,6.784211558091821e-15
418,6.7506956573465265e-15
419,6.7174389019350505e-15
420,6.684439188620603e-15
421,6.651694431299648e-15
422,6.6192025608683e-15
423,6.586961525089575e-15
424,6.554969288461443e-15
425,6.5232238320857565e-15
426,6.491723153537993e-15
427,6.4604652667378344e-15
428,6.429448201820615e-15
429,6.398670005009565e-15
430,6.368128738488927e-15
431,6.337822480277889e-15
432,6.307749324105379e-15
433,6.27790737928567e-15
434,6.248294770594842e-15
435,6.218909638148071e-15
436,6.189750137277749e-15
437,6.160814438412449e-15
438,6.132100726956708e-15
439,6.103607203171651e-15
440,6.075332082056434e-15
441,6.047273593230512e-15
442,6.019429980816746e-15
443,5.991799503325323e-15
444,5.964380433538483e-15
445,5.937171058396085e-15
446,5.910169678881973e-15
447,5.883374609911162e-15
448,5.856784180217832e-15
449,5.8303967322441216e-15
450,5.8042106220297355e-15
451,5.778224219102342e-15
452,5.752435906368789e-15
453,5.7268440800070846e-15
454,5.701447149359188e-15
455,5.6762435368245985e-15
456,5.651231677754692e-15
457,5.626410020347884e-15
458,5.601777025545539e-15
459,5.5773311669286695e-15
460,5.553070930615395e-15
461,5.528994815159172e-15
462,5.505101331447798e-15
463,5.481389002603164e-15
464,5.457856363881755e-15
465,5.434501962575922e-15
466,5.4113243579158845e-15
467,5.388322120972494e-15
468,5.365493834560726e-15
469,5.3428380931439e-15
470,5.320353502738659e-15
471,5.298038680820646e-15
472,5.275892256230931e-15
473,5.253912869083134e-15
474,5.23209917067129e-15
475,5.210449823378394e-15
476,5.188963500585686e-15
477,5.1676388865826166e-15
478,5.146474676477528e-15
479,5.125469576109006e-15
480,5.104622301957955e-15
481,5.083931581060326e-15
482,5.063396150920565e-15
483,5.043014759425695e-15
484,5.022786164760106e-15
485,5.002709135321009e-15
486,4.982782449634535e-15
487,4.9630048962725165e-15
488,4.943375273769922e-15
489,4.923892390542934e-15
