,AGTP_ch4
168,3.211508889215319e-14
169,3.1894152420161304e-14
170,3.167446085828956e-14
171,3.145601984432936e-14
172,3.123883451999621e-14
173,3.1022909547684957e-14
174,3.080824912672956e-14
175,3.0594857009181945e-14
176,3.0382736515123305e-14
177,3.017189054752174e-14
178,2.996232160664893e-14
179,2.9754031804068704e-14
180,2.954702287620974e-14
181,2.934129619753428e-14
182,2.9136852793314676e-14
183,2.893369335202873e-14
184,2.8731818237385054e-14
185,2.853122749998898e-14
186,2.8331920888659246e-14
187,2.813389786140571e-14
188,2.7937157596077606e-14
189,2.7741699000692015e-14
190,2.7547520723451596e-14
191,2.7354621162460564e-14
192,2.7162998475147632e-14
193,2.6972650587404312e-14
194,2.6783575202446656e-14
195,2.6595769809408665e-14
196,2.6409231691674757e-14
197,2.6223957934959082e-14
198,2.6039945435138805e-14
199,2.5857190905848467e-14
200,2.567569088584244e-14
201,2.549544174613189e-14
202,2.5316439696903106e-14
203,2.5138680794223094e-14
204,2.4962160946538926e-14
205,2.4786875920976602e-14
206,2.4612821349445217e-14
207,2.4439992734552173e-14
208,2.4268385455334715e-14
209,2.4097994772813257e-14
210,2.392881583537162e-14
211,2.3760843683969022e-14
212,2.3594073257188994e-14
213,2.342849939612965e-14
214,2.326411684914003e-14
215,2.3100920276407066e-14
216,2.2938904254397276e-14
217,2.2778063280157637e-14
218,2.2618391775479573e-14
219,2.245988409093003e-14
220,2.2302534509753686e-14
221,2.2146337251649723e-14
222,2.199128647642716e-14
223,2.1837376287541997e-14
224,2.16846007355198e-14
225,2.1532953821266966e-14
226,2.1382429499273943e-14
227,2.123302168071361e-14
228,2.1084724236437787e-14
229,2.0937530999874912e-14
230,2.07914357698318e-14
231,2.064643231320224e-14
232,2.0502514367585172e-14
233,2.0359675643815136e-14
234,2.021790982840751e-14
235,2.007721058592116e-14
236,1.9937571561240698e-14
237,1.9798986381781034e-14
238,1.9661448659616212e-14
239,1.9524951993535e-14
240,1.938948997102522e-14
241,1.925505617018905e-14
242,1.912164416159128e-14
243,1.8989247510042562e-14
244,1.885785977631945e-14
245,1.8727474518823357e-14
246,1.859808529517995e-14
247,1.8469685663781e-14
248,1.8342269185270306e-14
249,1.821582942397528e-14
250,1.8090359949286054e-14
251,1.7965854336983364e-14
252,1.7842306170517082e-14
253,1.7719709042236595e-14
254,1.7598056554574655e-14
255,1.7477342321186047e-14
256,1.735755996804243e-14
257,1.7238703134484708e-14
258,1.7120765474234145e-14
259,1.700374065636361e-14
260,1.6887622366230013e-14
261,1.6772404306369225e-14
262,1.6658080197354555e-14
263,1.6544643778619987e-14
264,1.6432088809249074e-14
265,1.6320409068730875e-14
266,1.620959835768352e-14
267,1.609965049854675e-14
268,1.599055933624428e-14
269,1.5882318738816797e-14
270,1.577492259802672e-14
271,1.5668364829935412e-14
272,1.556263937545385e-14
273,1.5457740200867442e-14
274,1.535366129833592e-14
275,1.525039668636904e-14
276,1.5147940410278847e-14
277,1.504628654260925e-14
278,1.494542918354365e-14
279,1.4845362461291267e-14
280,1.4746080532452916e-14
281,1.464757758236681e-14
282,1.454984782543507e-14
283,1.4452885505431622e-14
284,1.4356684895791915e-14
285,1.4261240299885257e-14
286,1.4166546051270156e-14
287,1.4072596513933315e-14
288,1.3979386082512838e-14
289,1.3886909182506023e-14
290,1.3795160270462475e-14
291,1.3704133834162754e-14
292,1.3613824392783332e-14
293,1.3524226497048046e-14
294,1.3435334729366653e-14
295,1.3347143703960936e-14
296,1.325964806697865e-14
