,AGTP_n2o
289,1.407623606251071e-13
290,1.4068353123509361e-13
291,1.4060467984025735e-13
292,1.4052580756629125e-13
293,1.404469155115241e-13
294,1.4036800474767193e-13
295,1.4028907632056772e-13
296,1.4021013125087155e-13
297,1.401311705347599e-13
298,1.4005219514459627e-13
299,1.3997320602958276e-13
300,1.3989420411639364e-13
301,1.398151903097906e-13
302,1.397361654932215e-13
303,1.3965713052940186e-13
304,1.3957808626088e-13
305,1.3949903351058668e-13
306,1.3941997308236925e-13
307,1.3934090576151053e-13
308,1.392618323152335e-13
309,1.3918275349319164e-13
310,1.3910367002794576e-13
311,1.3902458263542707e-13
312,1.3894549201538767e-13
313,1.3886639885183828e-13
314,1.387873038134735e-13
315,1.3870820755408562e-13
316,1.3862911071296623e-13
317,1.385500139152971e-13
318,1.3847091777252981e-13
319,1.3839182288275486e-13
320,1.383127298310604e-13
321,1.3823363918988096e-13
322,1.3815455151933623e-13
323,1.3807546736756066e-13
324,1.3799638727102352e-13
325,1.3791731175484012e-13
326,1.3783824133307447e-13
327,1.3775917650903307e-13
328,1.3768011777555091e-13
329,1.3760106561526904e-13
330,1.3752202050090496e-13
331,1.3744298289551452e-13
332,1.3736395325274752e-13
333,1.3728493201709538e-13
334,1.3720591962413222e-13
335,1.3712691650074915e-13
336,1.3704792306538199e-13
337,1.369689397282325e-13
338,1.368899668914837e-13
339,1.3681100494950878e-13
340,1.3673205428907462e-13
341,1.366531152895391e-13
342,1.3657418832304328e-13
343,1.3649527375469827e-13
344,1.3641637194276627e-13
345,1.3633748323883743e-13
346,1.3625860798800097e-13
347,1.3617974652901208e-13
348,1.361008991944537e-13
349,1.360220663108942e-13
350,1.3594324819904043e-13
351,1.3586444517388647e-13
352,1.3578565754485834e-13
353,1.3570688561595457e-13
354,1.3562812968588305e-13
355,1.3554939004819368e-13
356,1.3547066699140774e-13
357,1.3539196079914333e-13
358,1.3531327175023755e-13
359,1.3523460011886518e-13
360,1.3515594617465392e-13
361,1.3507731018279665e-13
362,1.3499869240416052e-13
363,1.3492009309539277e-13
364,1.3484151250902394e-13
365,1.3476295089356798e-13
366,1.3468440849361968e-13
367,1.3460588554994942e-13
368,1.34527382299595e-13
369,1.3444889897595146e-13
370,1.3437043580885795e-13
371,1.3429199302468225e-13
372,1.342135708464033e-13
373,1.3413516949369087e-13
374,1.3405678918298357e-13
375,1.3397843012756438e-13
376,1.3390009253763418e-13
377,1.3382177662038323e-13
378,1.3374348258006064e-13
379,1.3366521061804222e-13
380,1.3358696093289576e-13
381,1.3350873372044546e-13
382,1.3343052917383373e-13
