,AGTP_co2
310,4.603598992230649e-16
311,4.601214961207865e-16
312,4.598840002164057e-16
313,4.596474048959354e-16
314,4.59411703633918e-16
315,4.591768899922412e-16
316,4.589429576189574e-16
317,4.587099002471086e-16
318,4.584777116935594e-16
319,4.582463858578359e-16
320,4.58015916720972e-16
321,4.57786298344364e-16
322,4.575575248686315e-16
323,4.5732959051249e-16
324,4.571024895716287e-16
325,4.568762164175988e-16
326,4.566507654967119e-16
327,4.564261313289463e-16
328,4.562023085068643e-16
329,4.559792916945387e-16
330,4.557570756264895e-16
331,4.555356551066314e-16
332,4.553150250072318e-16
333,4.550951802678779e-16
334,4.548761158944573e-16
335,4.546578269581468e-16
336,4.544403085944145e-16
337,4.542235560020303e-16
338,4.5400756444209055e-16
339,4.537923292370514e-16
340,4.535778457697753e-16
341,4.533641094825874e-16
342,4.531511158763438e-16
343,4.529388605095126e-16
344,4.527273389972636e-16
345,4.525165470105714e-16
346,4.523064802753301e-16
347,4.5209713457147795e-16
348,4.518885057321346e-16
349,4.516805896427498e-16
350,4.514733822402618e-16
351,4.512668795122698e-16
352,4.510610774962154e-16
353,4.508559722785762e-16
354,4.506515599940712e-16
355,4.504478368248755e-16
356,4.502447989998484e-16
357,4.500424427937712e-16
358,4.498407645265953e-16
359,4.496397605627034e-16
360,4.494394273101794e-16
361,4.492397612200903e-16
362,4.490407587857775e-16
363,4.488424165421604e-16
364,4.486447310650495e-16
365,4.484476989704691e-16
366,4.482513169139928e-16
367,4.480555815900857e-16
368,4.478604897314601e-16
369,4.476660381084394e-16
370,4.474722235283322e-16
371,4.472790428348162e-16
372,4.470864929073323e-16
373,4.468945706604884e-16
374,4.467032730434708e-16
375,4.465125970394683e-16
376,4.463225396651031e-16
377,4.461330979698713e-16
378,4.459442690355937e-16
379,4.457560499758742e-16
380,4.455684379355674e-16
381,4.453814300902564e-16
382,4.451950236457364e-16
383,4.4500921583751e-16
384,4.448240039302886e-16
385,4.44639385217504e-16
386,4.444553570208256e-16
387,4.442719166896895e-16
388,4.440890616008316e-16
389,4.4390678915783195e-16
390,4.4372509679066447e-16
391,4.4354398195525617e-16
392,4.433634421330523e-16
393,4.431834748305907e-16
394,4.4300407757908193e-16
395,4.4282524793399765e-16
396,4.426469834746662e-16
397,4.424692818038744e-16
398,4.422921405474768e-16
399,4.4211555735401314e-16
400,4.419395298943288e-16
401,4.417640558612067e-16
402,4.415891329690021e-16
403,4.414147589532854e-16
404,4.4124093157049104e-16
405,4.4106764859757276e-16
406,4.408949078316647e-16
407,4.407227070897487e-16
408,4.405510442083279e-16
409,4.4037991704310545e-16
410,4.4020932346867005e-16
411,4.400392613781859e-16
412,4.3986972868308945e-16
413,4.397007233127909e-16
414,4.3953224321438125e-16
415,4.3936428635234486e-16
416,4.3919685070827703e-16
417,4.3902993428060744e-16
418,4.388635350843266e-16
419,4.386976511507203e-16
420,4.385322805271067e-16
421,4.383674212765787e-16
422,4.382030714777513e-16
423,4.380392292245142e-16
424,4.378758926257877e-16
425,4.377130598052837e-16
426,4.375507289012715e-16
427,4.373888980663478e-16
428,4.3722756546720973e-16
429,4.3706672928443405e-16
430,4.3690638771225944e-16
431,4.367465389583725e-16
432,4.365871812436983e-16
433,4.364283128021948e-16
434,4.36269931880651e-16
435,4.361120367384886e-16
436,4.359546256475677e-16
437,4.357976968919964e-16
438,4.356412487679428e-16
439,4.354852795834524e-16
440,4.3532978765826685e-16
441,4.351747713236477e-16
442,4.350202289222029e-16
443,4.3486615880771583e-16
444,4.3471255934497955e-16
445,4.3455942890963114e-16
446,4.344067658879926e-16
447,4.3425456867691166e-16
448,4.341028356836079e-16
449,4.3395156532552044e-16
450,4.3380075603015855e-16
451,4.3365040623495626e-16
452,4.335005143871279e-16
453,4.333510789435284e-16
454,4.332020983705143e-16
455,4.330535711438086e-16
456,4.329054957483679e-16
457,4.327578706782516e-16
458,4.3261069443649453e-16
459,4.32463965534981e-16
460,4.3231768249432194e-16
461,4.3217184384373333e-16
462,4.320264481209186e-16
463,4.3188149387195184e-16
464,4.3173697965116363e-16
465,4.315929040210293e-16
466,4.314492655520588e-16
467,4.313060628226895e-16
468,4.3116329441917965e-16
469,4.3102095893550545e-16
470,4.3087905497325864e-16
471,4.307375811415471e-16
472,4.3059653605689673e-16
473,4.304559183431549e-16
474,4.3031572663139733e-16
475,4.301759595598342e-16
476,4.300366157737199e-16
477,4.298976939252645e-16
478,4.297591926735453e-16
479,4.2962111068442205e-16
480,4.2948344663045213e-16
