,AGWP_ch4
135,6.285462377995473e-14
136,6.231878312215077e-14
137,6.17874636895277e-14
138,6.126062742820621e-14
139,6.073823660294136e-14
140,6.022025379449147e-14
141,5.970664189700788e-14
142,5.91973641154456e-14
143,5.869238396299435e-14
144,5.819166525853009e-14
145,5.769517212408697e-14
146,5.720286898234924e-14
147,5.6714720554163364e-14
148,5.6230691856069784e-14
149,5.575074819785461e-14
150,5.527485518012077e-14
151,5.480297869187859e-14
152,5.4335084908155866e-14
153,5.387114028762681e-14
154,5.3411111570260214e-14
155,5.29549657749865e-14
156,5.25026701973834e-14
157,5.205419240738043e-14
158,5.1609500246981604e-14
159,5.116856182800673e-14
160,5.073134552985073e-14
161,5.029781999726111e-14
162,4.986795413813348e-14
163,4.944171712132455e-14
164,4.901907837448321e-14
165,4.8600007581898925e-14
166,4.818447468236743e-14
167,4.777244986707407e-14
168,4.736390357749391e-14
169,4.695880650330916e-14
170,4.655712958034331e-14
171,4.6158843988512086e-14
172,4.576392114979116e-14
173,4.537233272620019e-14
174,4.498405061780338e-14
175,4.459904696072637e-14
176,4.421729412518899e-14
177,4.3838764713554464e-14
178,4.346343155839406e-14
179,4.3091267720567943e-14
180,4.2722246487321354e-14
181,4.235634137039647e-14
182,4.199352610415979e-14
183,4.1633774643744543e-14
184,4.127706116320861e-14
185,4.092336005370726e-14
186,4.057264592168094e-14
187,4.022489358705794e-14
188,3.9880078081471656e-14
189,3.9538174646492636e-14
190,3.9199158731874944e-14
191,3.8863005993816983e-14
192,3.852969229323665e-14
193,3.8199193694060566e-14
194,3.787148646152729e-14
195,3.754654706050474e-14
196,3.722435215382107e-14
197,3.69048786006096e-14
198,3.65881034546672e-14
199,3.62740039628261e-14
200,3.596255756333937e-14
201,3.5653741884279394e-14
202,3.534753474194977e-14
203,3.504391413931016e-14
204,3.474285826441413e-14
205,3.444434548886003e-14
206,3.414835436625435e-14
207,3.3854863630688144e-14
208,3.3563852195225673e-14
209,3.327529915040573e-14
210,3.2989183762755316e-14
211,3.270548547331553e-14
212,3.2424183896179783e-14
213,3.214525881704389e-14
214,3.186869019176832e-14
215,3.159445814495235e-14
216,3.1322542968519845e-14
217,3.105292512031695e-14
218,3.0785585222721296e-14
219,3.052050406126263e-14
