,AGWP_ch4
129,1.582298588458207e-12
130,1.5892132556189364e-12
131,1.5960718832977348e-12
132,1.6028749247029867e-12
133,1.609622829506267e-12
134,1.616316043866701e-12
135,1.62295501045517e-12
136,1.629540168478386e-12
137,1.6360719537028252e-12
138,1.6425507984785282e-12
139,1.6489771317627709e-12
140,1.6553513791436052e-12
141,1.661673962863277e-12
142,1.667945301841517e-12
143,1.6741658116987158e-12
144,1.6803359047789745e-12
145,1.6864559901730402e-12
146,1.6925264737411257e-12
147,1.6985477581356135e-12
148,1.7045202428236464e-12
149,1.7104443241096065e-12
150,1.716320395157482e-12
151,1.7221488460131256e-12
152,1.7279300636263984e-12
153,1.7336644318732124e-12
154,1.7393523315774565e-12
155,1.7449941405328207e-12
156,1.75059023352451e-12
157,1.7561409823508506e-12
158,1.7616467558447922e-12
159,1.7671079198953024e-12
160,1.7725248374686513e-12
161,1.777897868629598e-12
162,1.7832273705624613e-12
163,1.7885136975920927e-12
164,1.7937572012047385e-12
165,1.7989582300687972e-12
166,1.8041171300554718e-12
167,1.809234244259314e-12
168,1.8143099130186664e-12
169,1.8193444739359916e-12
170,1.824338261898103e-12
171,1.829291609096284e-12
172,1.8342048450462996e-12
173,1.8390782966083076e-12
174,1.8439122880066563e-12
175,1.848707140849578e-12
176,1.8534631741487765e-12
177,1.8581807043389077e-12
178,1.8628600452969455e-12
179,1.8675015083614526e-12
180,1.872105402351733e-12
181,1.876672033586882e-12
182,1.8812017059047265e-12
183,1.885694720680657e-12
184,1.8901513768463527e-12
185,1.8945719709083984e-12
186,1.89895679696679e-12
187,1.903306146733336e-12
188,1.9076203095499457e-12
189,1.911899572406813e-12
190,1.9161442199604885e-12
191,1.9203545345518465e-12
192,1.924530796223936e-12
193,1.928673282739732e-12
194,1.9327822695997726e-12
195,1.9368580300596856e-12
196,1.940900835147614e-12
197,1.9449109536815226e-12
198,1.948888652286404e-12
199,1.9528341954113733e-12
200,1.9567478453466515e-12
201,1.9606298622404465e-12
202,1.964480504115717e-12
203,1.9683000268868378e-12
204,1.9720886843761504e-12
205,1.975846728330405e-12
206,1.979574408437102e-12
207,1.9832719723407167e-12
208,1.9869396656588204e-12
209,1.9905777319980983e-12
210,1.9941864129702497e-12
211,1.9977659482077944e-12
212,2.0013165753797618e-12
213,2.004838530207276e-12
214,2.008332046479041e-12
215,2.011797356066708e-12
216,2.0152346889401513e-12
217,2.0186442731826244e-12
218,2.0220263350058226e-12
219,2.025381098764834e-12
220,2.0287087869729885e-12
221,2.0320096203166004e-12
222,2.035283817669609e-12
223,2.038531596108119e-12
224,2.0417531709248294e-12
225,2.0449487556433644e-12
226,2.0481185620325044e-12
227,2.051262800120311e-12
228,2.05438167820815e-12
229,2.0574754028846147e-12
230,2.060544179039349e-12
231,2.063588209876769e-12
232,2.066607696929683e-12
233,2.069602840072815e-12
234,2.0725738375362244e-12
235,2.0755208859186315e-12
236,2.0784441802006462e-12
237,2.0813439137578868e-12
238,2.084220278374018e-12
239,2.0870734642536793e-12
240,2.0899036600353224e-12
241,2.092711052803952e-12
242,2.0954958281037684e-12
243,2.0982581699507184e-12
244,2.1009982608449504e-12
245,2.1037162817831736e-12
246,2.106412412270924e-12
247,2.1090868303347415e-12
248,2.111739712534246e-12
249,2.1143712339741325e-12
250,2.1169815683160586e-12
251,2.119570887790462e-12
252,2.1221393632082646e-12
253,2.1246871639725058e-12
254,2.127214458089873e-12
255,2.1297214121821493e-12
256,2.1322081914975717e-12
257,2.1346749599220975e-12
258,2.1371218799905922e-12
259,2.1395491128979175e-12
260,2.1419568185099434e-12
261,2.1443451553744714e-12
262,2.1467142807320667e-12
263,2.149064350526816e-12
264,2.1513955194169906e-12
265,2.1537079407856306e-12
266,2.1560017667510483e-12
267,2.158277148177241e-12
268,2.1605342346842286e-12
269,2.1627731746583077e-12
270,2.1649941152622222e-12
271,2.167197202445255e-12
272,2.1693825809532395e-12
273,2.1715503943384913e-12
274,2.1737007849696605e-12
275,2.1758338940415057e-12
276,2.1779498615845905e-12
277,2.180048826474901e-12
278,2.1821309264433868e-12
279,2.1841962980854285e-12
280,2.186245076870224e-12
281,2.1882773971501024e-12
282,2.1902933921697656e-12
283,2.1922931940754477e-12
284,2.1942769339240102e-12
285,2.196244741691958e-12
286,2.1981967462843816e-12
287,2.200133075543833e-12
288,2.2020538562591215e-12
289,2.2039592141740485e-12
290,2.2058492739960595e-12
291,2.2077241594048398e-12
292,2.209583993060825e-12
293,2.211428896613656e-12
294,2.213258990710559e-12
295,2.215074395004655e-12
296,2.2168752281632067e-12
297,2.218661607875796e-12
298,2.220433650862434e-12
299,2.2221914728816065e-12
300,2.223935188738252e-12
301,2.2256649122916765e-12
302,2.2273807564634013e-12
303,2.2290828332449482e-12
304,2.2307712537055625e-12
305,2.2324461279998662e-12
306,2.234107565375457e-12
307,2.2357556741804398e-12
308,2.2373905618708964e-12
309,2.2390123350182965e-12
310,2.240621099316845e-12
311,2.24221695959077e-12
312,2.243800019801552e-12
313,2.2453703830550924e-12
314,2.2469281516088216e-12
315,2.2484734268787517e-12
316,2.250006309446468e-12
317,2.251526899066066e-12
318,2.2530352946710266e-12
319,2.2545315943810394e-12
320,2.256015895508768e-12
321,2.257488294566557e-12
322,2.2589488872730855e-12
323,2.260397768559968e-12
324,2.261835032578295e-12
325,2.263260772705127e-12
326,2.2646750815499247e-12
327,2.2660780509609363e-12
328,2.2674697720315268e-12
329,2.268850335106453e-12
330,2.2702198297880896e-12
331,2.271578344942605e-12
332,2.2729259687060802e-12
333,2.274262788490585e-12
334,2.275588890990194e-12
335,2.2769043621869616e-12
336,2.2782092873568423e-12
337,2.279503751075563e-12
338,2.2807878372244475e-12
339,2.2820616289961905e-12
340,2.283325208900585e-12
341,2.2845786587702046e-12
342,2.2858220597660304e-12
343,2.2870554923830414e-12
344,2.288279036455751e-12
345,2.2894927711637017e-12
346,2.290696775036909e-12
347,2.2918911259612676e-12
348,2.293075901183903e-12
349,2.2942511773184876e-12
350,2.295417030350509e-12
351,2.2965735356424902e-12
352,2.2977207679391722e-12
353,2.2988588013726524e-12
354,2.299987709467476e-12
355,2.301107565145692e-12
356,2.302218440731858e-12
