,AGWP_n2o
178,5.977781356509483e-12
179,6.00919526291511e-12
180,6.040584197758999e-12
181,6.0719481643493856e-12
182,6.1032871661719354e-12
183,6.134601206885967e-12
184,6.1658902903207685e-12
185,6.197154420471993e-12
186,6.228393601498139e-12
187,6.259607837717121e-12
188,6.290797133602938e-12
189,6.321961493782386e-12
190,6.3531009230318895e-12
191,6.384215426274396e-12
192,6.415305008576333e-12
193,6.446369675144671e-12
194,6.477409431324027e-12
195,6.508424282593858e-12
196,6.539414234565734e-12
197,6.570379292980653e-12
198,6.601319463706429e-12
199,6.632234752735175e-12
200,6.663125166180808e-12
201,6.693990710276649e-12
202,6.724831391373055e-12
203,6.755647215935136e-12
204,6.786438190540525e-12
205,6.817204321877179e-12
206,6.84794561674128e-12
207,6.8786620820351385e-12
208,6.9093537247651926e-12
209,6.940020552040049e-12
210,6.970662571068539e-12
211,7.00127978915788e-12
212,7.03187221371183e-12
213,7.062439852228933e-12
214,7.092982712300781e-12
215,7.123500801610326e-12
216,7.153994127930247e-12
217,7.184462699121341e-12
218,7.214906523130958e-12
219,7.245325607991494e-12
220,7.275719961818911e-12
221,7.306089592811275e-12
222,7.336434509247363e-12
223,7.366754719485278e-12
224,7.397050231961128e-12
225,7.42732105518772e-12
226,7.45756719775327e-12
227,7.487788668320187e-12
228,7.517985475623854e-12
229,7.548157628471458e-12
230,7.578305135740825e-12
231,7.60842800637933e-12
232,7.638526249402785e-12
233,7.668599873894366e-12
234,7.69864888900361e-12
235,7.728673303945369e-12
236,7.758673127998846e-12
237,7.788648370506613e-12
238,7.818599040873693e-12
239,7.848525148566629e-12
240,7.878426703112599e-12
241,7.908303714098539e-12
242,7.938156191170297e-12
243,7.96798414403179e-12
244,7.997787582444231e-12
245,8.027566516225285e-12
246,8.057320955248335e-12
247,8.087050909441727e-12
248,8.116756388788018e-12
249,8.146437403323265e-12
250,8.176093963136333e-12
251,8.2057260783682e-12
252,8.235333759211278e-12
253,8.264917015908794e-12
254,8.294475858754109e-12
255,8.324010298090135e-12
256,8.353520344308683e-12
257,8.383006007849906e-12
258,8.412467299201692e-12
259,8.441904228899108e-12
260,8.47131680752383e-12
261,8.500705045703609e-12
262,8.530068954111738e-12
263,8.559408543466522e-12
264,8.588723824530777e-12
265,8.618014808111333e-12
266,8.647281505058523e-12
267,8.676523926265742e-12
268,8.705742082668947e-12
269,8.734935985246216e-12
270,8.764105645017292e-12
271,8.793251073043144e-12
272,8.822372280425534e-12
273,8.851469278306609e-12
274,8.88054207786846e-12
275,8.909590690332736e-12
276,8.938615126960255e-12
277,8.967615399050577e-12
278,8.996591517941665e-12
279,9.025543495009473e-12
280,9.054471341667608e-12
281,9.083375069366947e-12
282,9.11225468959528e-12
283,9.14111021387698e-12
284,9.16994165377265e-12
285,9.198749020878786e-12
286,9.227532326827439e-12
287,9.256291583285916e-12
288,9.285026801956419e-12
289,9.313737994575782e-12
290,9.34242517291511e-12
291,9.371088348779521e-12
292,9.399727534007824e-12
293,9.428342740472215e-12
294,9.456933980078023e-12
295,9.485501264763387e-12
296,9.514044606498993e-12
297,9.542564017287813e-12
298,9.571059509164804e-12
299,9.599531094196655e-12
300,9.62797878448153e-12
301,9.6564025921488e-12
302,9.68480252935877e-12
303,9.713178608302464e-12
304,9.741530841201348e-12
305,9.769859240307083e-12
306,9.798163817901304e-12
307,9.826444586295348e-12
308,9.85470155783005e-12
309,9.8829347448755e-12
310,9.911144159830794e-12
