,AGWP_ch4
187,1.947273210193499e-12
188,1.9518622575368964e-12
189,1.9564164332918025e-12
190,1.9609360193182677e-12
191,1.9654212951988703e-12
192,1.9698725382560708e-12
193,1.9742900235694793e-12
194,1.978674023993011e-12
195,1.9830248101719407e-12
196,1.98734265055986e-12
197,1.9916278114355284e-12
198,1.995880556919622e-12
199,2.000101148991383e-12
200,2.004289847505165e-12
201,2.0084469102068762e-12
202,2.0125725927503174e-12
203,2.016667148713425e-12
204,2.0207308296144053e-12
205,2.024763884927766e-12
206,2.028766562100254e-12
207,2.0327391065666803e-12
208,2.0366817617656465e-12
209,2.0405947691551788e-12
210,2.0444783682282403e-12
211,2.0483327965281634e-12
212,2.052158289663967e-12
213,2.055955081325572e-12
214,2.059723403298927e-12
215,2.063463485481018e-12
216,2.0671755558947895e-12
217,2.070859840703958e-12
218,2.0745165642277262e-12
219,2.078145948955402e-12
220,2.081748215560908e-12
221,2.0853235829171996e-12
222,2.08887226811058e-12
223,2.0923944864549186e-12
224,2.0958904515057645e-12
225,2.099360375074369e-12
226,2.1028044672416033e-12
227,2.1062229363717858e-12
228,2.1096159891264e-12
229,2.1129838304777297e-12
230,2.1163266637223817e-12
231,2.1196446904947274e-12
232,2.1229381107802345e-12
233,2.126207122928711e-12
234,2.1294519236674515e-12
235,2.1326727081142847e-12
236,2.135869669790536e-12
237,2.1390430006338807e-12
238,2.142192891011119e-12
239,2.145319529730845e-12
240,2.1484231040560293e-12
241,2.151503799716507e-12
242,2.1545618009213712e-12
243,2.1575972903712797e-12
244,2.1606104492706657e-12
245,2.1636014573398573e-12
246,2.1665704928271098e-12
247,2.169517732520546e-12
248,2.1724433517600048e-12
249,2.175347524448805e-12
250,2.1782304230654147e-12
251,2.181092218675039e-12
252,2.183933080941113e-12
253,2.186753178136712e-12
254,2.1895526771558754e-12
255,2.192331743524837e-12
256,2.1950905414131814e-12
257,2.1978292336449e-12
258,2.2005479817093787e-12
259,2.203246945772285e-12
260,2.2059262846863835e-12
261,2.2085861560022614e-12
262,2.2112267159789696e-12
263,2.2138481195945884e-12
264,2.216450520556706e-12
265,2.2190340713128125e-12
266,2.221598923060623e-12
267,2.2241452257583078e-12
268,2.2266731281346523e-12
269,2.2291827776991323e-12
270,2.2316743207519118e-12
271,2.2341479023937615e-12
272,2.2366036665359015e-12
273,2.2390417559097623e-12
274,2.241462312076673e-12
275,2.24386547543747e-12
276,2.246251385242032e-12
277,2.248620179598738e-12
278,2.250971995483849e-12
279,2.2533069687508198e-12
280,2.25562523413953e-12
281,2.257926925285448e-12
282,2.260212174728719e-12
283,2.2624811139231777e-12
284,2.264733873245295e-12
285,2.2669705820030507e-12
286,2.26919136844473e-12
287,2.2713963597676594e-12
288,2.2735856821268607e-12
289,2.2757594606436505e-12
290,2.2779178194141523e-12
291,2.2800608815177583e-12
292,2.282188769025507e-12
293,2.2843016030084066e-12
294,2.2863995035456824e-12
295,2.288482589732961e-12
296,2.290550979690388e-12
297,2.2926047905706787e-12
298,2.294644138567108e-12
299,2.2966691389214284e-12
300,2.29867990593173e-12
301,2.300676552960234e-12
302,2.3026591924410234e-12
303,2.3046279358877095e-12
304,2.3065828939010403e-12
305,2.3085241761764406e-12
306,2.310451891511495e-12
307,2.3123661478133714e-12
308,2.3142670521061787e-12
309,2.316154710538267e-12
310,2.318029228389471e-12
311,2.31989071007829e-12
312,2.321739259169011e-12
313,2.3235749783787727e-12
314,2.325397969584575e-12
315,2.3272083338302253e-12
316,2.329006171333232e-12
317,2.3307915814916425e-12
318,2.33256466289082e-12
319,2.3343255133101697e-12
320,2.336074229729808e-12
321,2.337810908337177e-12
322,2.3395356445336014e-12
323,2.3412485329407993e-12
324,2.3429496674073306e-12
325,2.344639141015e-12
326,2.3463170460852e-12
327,2.347983474185208e-12
328,2.3496385161344285e-12
329,2.3512822620105835e-12
330,2.352914801155852e-12
331,2.3545362221829613e-12
332,2.3561466129812247e-12
333,2.3577460607225333e-12
334,2.35933465186729e-12
335,2.360912472170309e-12
336,2.362479606686649e-12
337,2.3640361397774147e-12
338,2.3655821551154975e-12
339,2.3671177356912763e-12
340,2.3686429638182686e-12
341,2.3701579211387355e-12
342,2.3716626886292368e-12
343,2.373157346606149e-12
344,2.374641974731125e-12
345,2.3761166520165216e-12
346,2.3775814568307707e-12
347,2.3790364669037156e-12
348,2.3804817593318928e-12
349,2.3819174105837817e-12
350,2.3833434965050026e-12
351,2.3847600923234716e-12
352,2.3861672726545174e-12
353,2.387565111505954e-12
354,2.3889536822831063e-12
355,2.3903330577938037e-12
356,2.391703310253322e-12
357,2.3930645112892916e-12
358,2.3944167319465613e-12
359,2.3957600426920224e-12
