,AGWP_co2
236,9.847420458232881e-16
237,9.839159491205447e-16
238,9.830927938326593e-16
239,9.822725510818212e-16
240,9.814551925490408e-16
241,9.80640690461599e-16
242,9.79829017580786e-16
243,9.790201471899213e-16
244,9.782140530826462e-16
245,9.77410709551486e-16
246,9.76610091376673e-16
247,9.75812173815227e-16
248,9.75016932590284e-16
249,9.742243438806694e-16
250,9.734343843107132e-16
251,9.72647030940292e-16
252,9.718622612551053e-16
253,9.710800531571708e-16
254,9.703003849555378e-16
255,9.695232353572142e-16
256,9.687485834582994e-16
257,9.679764087353221e-16
258,9.67206691036775e-16
259,9.664394105748424e-16
260,9.65674547917319e-16
261,9.64912083979713e-16
262,9.641520000175288e-16
263,9.633942776187268e-16
264,9.626388986963557e-16
265,9.618858454813541e-16
266,9.611351005155154e-16
267,9.603866466446123e-16
268,9.59640467011684e-16
269,9.58896545050469e-16
270,9.581548644789951e-16
271,9.574154092933107e-16
272,9.566781637613625e-16
273,9.559431124170124e-16
274,9.552102400541902e-16
275,9.5447953172118e-16
276,9.53750972715039e-16
277,9.530245485761404e-16
278,9.523002450828455e-16
279,9.515780482462913e-16
280,9.508579443053044e-16
281,9.501399197214247e-16
282,9.494239611740455e-16
283,9.487100555556655e-16
284,9.479981899672464e-16
285,9.472883517136792e-16
286,9.465805282993518e-16
287,9.458747074238188e-16
288,9.451708769775701e-16
289,9.444690250378954e-16
290,9.43769139864843e-16
291,9.430712098972725e-16
292,9.423752237489936e-16
293,9.416811702049975e-16
294,9.40989038217771e-16
295,9.402988169036962e-16
296,9.396104955395306e-16
297,9.38924063558969e-16
298,9.382395105492828e-16
299,9.37556826248037e-16
300,9.36876000539879e-16
301,9.361970234534051e-16
302,9.355198851580933e-16
303,9.3484457596131e-16
304,9.341710863053815e-16
305,9.334994067647355e-16
306,9.328295280431038e-16
307,9.32161440970792e-16
308,9.3149513650201e-16
309,9.308306057122614e-16
310,9.30167839795795e-16
311,9.295068300631124e-16
312,9.288475679385334e-16
313,9.281900449578159e-16
314,9.275342527658289e-16
315,9.268801831142806e-16
316,9.262278278594964e-16
317,9.255771789602479e-16
318,9.249282284756302e-16
319,9.242809685629892e-16
320,9.236353914758935e-16
321,9.22991489562154e-16
322,9.223492552618882e-16
323,9.217086811056278e-16
324,9.21069759712469e-16
325,9.204324837882643e-16
326,9.197968461238576e-16
327,9.191628395933572e-16
328,9.185304571524455e-16
329,9.178996918367329e-16
330,9.172705367601442e-16
331,9.16642985113342e-16
332,9.160170301621878e-16
333,9.153926652462358e-16
334,9.147698837772614e-16
335,9.141486792378234e-16
336,9.13529045179857e-16
337,9.12910975223301e-16
338,9.122944630547539e-16
339,9.116795024261608e-16
340,9.110660871535299e-16
341,9.104542111156784e-16
342,9.098438682530063e-16
343,9.092350525662971e-16
344,9.086277581155457e-16
345,9.080219790188142e-16
346,9.07417709451111e-16
347,9.068149436432966e-16
348,9.06213675881014e-16
349,9.056139005036412e-16
350,9.050156119032702e-16
351,9.044188045237061e-16
352,9.038234728594905e-16
353,9.032296114549466e-16
354,9.026372149032424e-16
355,9.02046277845481e-16
356,9.014567949698056e-16
357,9.00868761010527e-16
358,9.002821707472707e-16
359,8.996970190041421e-16
360,8.991133006489108e-16
361,8.985310105922133e-16
362,8.979501437867723e-16
363,8.97370695226636e-16
364,8.967926599464305e-16
365,8.962160330206316e-16
366,8.956408095628535e-16
367,8.950669847251491e-16
368,8.94494553697331e-16
369,8.93923511706303e-16
370,8.933538540154104e-16
371,8.927855759238015e-16
372,8.922186727658047e-16
373,8.916531399103196e-16
374,8.910889727602202e-16
375,8.905261667517731e-16
376,8.89964717354067e-16
377,8.894046200684554e-16
378,8.888458704280119e-16
379,8.882884639969955e-16
380,8.877323963703326e-16
381,8.871776631731026e-16
382,8.866242600600421e-16
383,8.860721827150569e-16
384,8.855214268507433e-16
385,8.849719882079223e-16
386,8.844238625551835e-16
387,8.838770456884374e-16
388,8.833315334304792e-16
389,8.82787321630561e-16
390,8.822444061639745e-16
391,8.817027829316417e-16
392,8.811624478597137e-16
393,8.806233968991814e-16
394,8.8008562602549045e-16
395,8.795491312381685e-16
396,8.790139085604563e-16
397,8.784799540389514e-16
398,8.779472637432559e-16
399,8.774158337656332e-16
400,8.768856602206722e-16
401,8.763567392449589e-16
402,8.758290669967535e-16
403,8.753026396556764e-16
404,8.747774534224004e-16
405,8.74253504518348e-16
406,8.737307891853979e-16
407,8.732093036855943e-16
408,8.726890443008655e-16
409,8.721700073327471e-16
410,8.716521891021102e-16
411,8.711355859488984e-16
412,8.706201942318651e-16
413,8.701060103283226e-16
414,8.695930306338913e-16
415,8.690812515622579e-16
416,8.685706695449348e-16
417,8.680612810310302e-16
418,8.67553082487015e-16
419,8.670460703965038e-16
420,8.665402412600325e-16
421,8.660355915948451e-16
422,8.65532117934684e-16
423,8.650298168295832e-16
424,8.64528684845668e-16
425,8.640287185649569e-16
426,8.635299145851687e-16
427,8.630322695195334e-16
428,8.62535779996606e-16
429,8.620404426600859e-16
430,8.615462541686392e-16
431,8.610532111957223e-16
432,8.6056131042941425e-16
433,8.600705485722471e-16
434,8.595809223410429e-16
435,8.590924284667538e-16
436,8.586050636943024e-16
437,8.581188247824309e-16
438,8.576337085035472e-16
439,8.571497116435776e-16
440,8.566668310018225e-16
441,8.56185063390813e-16
442,8.557044056361723e-16
443,8.552248545764784e-16
444,8.547464070631305e-16
445,8.542690599602173e-16
