,AGWP_ch4
120,7.410562306390207e-14
121,7.350052562718493e-14
122,7.290049037097719e-14
123,7.230547509875529e-14
124,7.171543796044164e-14
125,7.11303374496847e-14
126,7.055013240115762e-14
127,6.997478198787522e-14
128,6.940424571852927e-14
129,6.883848343484216e-14
130,6.827745530893858e-14
131,6.772112184073552e-14
132,6.716944385535038e-14
133,6.662238250052693e-14
134,6.607989924407925e-14
135,6.554195587135393e-14
136,6.500851448270947e-14
137,6.447953749101408e-14
138,6.395498761916063e-14
139,6.343482789759956e-14
140,6.291902166188915e-14
141,6.240753255026335e-14
142,6.190032450121704e-14
143,6.13973617511084e-14
144,6.089860883177873e-14
145,6.040403056818934e-14
146,5.991359207607552e-14
147,5.942725875961761e-14
148,5.894499630912874e-14
149,5.846677069875973e-14
150,5.799254818422049e-14
151,5.752229530051822e-14
152,5.705597885971223e-14
153,5.6593565948685163e-14
154,5.613502392693065e-14
155,5.568032042435743e-14
156,5.5229423339109554e-14
157,5.478230083540294e-14
158,5.433892134137779e-14
159,5.3899253546967177e-14
160,5.346326640178146e-14
161,5.303092911300849e-14
162,5.260221114332971e-14
163,5.217708220885161e-14
164,5.1755512277053e-14
165,5.133747156474766e-14
166,5.092293053606225e-14
167,5.0511859900429747e-14
168,5.01042306105978e-14
169,4.970001386065245e-14
170,4.929918108405671e-14
171,4.890170395170406e-14
172,4.8507554369986965e-14
173,4.811670447887987e-14
174,4.772912665003708e-14
175,4.7344793484905173e-14
176,4.6963677812849695e-14
177,4.6585752689296613e-14
178,4.62109913938876e-14
179,4.5839367428650024e-14
180,4.547085451618066e-14
181,4.510542659784363e-14
182,4.47430578319823e-14
183,4.438372259214483e-14
184,4.4027395465323784e-14
185,4.367405125020919e-14
186,4.3323664955455216e-14
187,4.2976211797960445e-14
188,4.263166720116139e-14
189,4.2290006793339566e-14
190,4.195120640594151e-14
191,4.161524207191213e-14
192,4.1282090024041096e-14
193,4.0951726693322116e-14
194,4.0624128707325103e-14
195,4.029927288858125e-14
196,3.997713625298062e-14
197,3.965769600818252e-14
198,3.9340929552038364e-14
199,3.9026814471026794e-14
200,3.871532853870153e-14
201,3.840644971415113e-14
202,3.810015614047116e-14
203,3.779642614324839e-14
204,3.749523822905694e-14
205,3.719657108396655e-14
206,3.690040357206248e-14
207,3.660671473397734e-14
208,3.63154837854345e-14
209,3.6026690115803135e-14
210,3.574031328666484e-14
211,3.545633303039152e-14
212,3.5174729248734896e-14
213,3.489548201142697e-14
214,3.4618571554791915e-14
215,3.4343978280368996e-14
216,3.407168275354647e-14
217,3.380166570220651e-14
218,3.3533908015381e-14
219,3.326839074191797e-14
220,3.3005095089159e-14
221,3.2744002421626975e-14
222,3.248509425972466e-14
223,3.2228352278443494e-14
224,3.1973758306082986e-14
225,3.1721294322980364e-14
226,3.147094246025036e-14
227,3.122268499853539e-14
228,3.0976504366765614e-14
229,3.0732383140929085e-14
230,3.0490304042851953e-14
231,3.02502499389883e-14
232,3.001220383922003e-14
233,2.977614889566628e-14
234,2.954206840150256e-14
235,2.930994578978953e-14
236,2.9079764632311104e-14
237,2.885150863842217e-14
238,2.862516165390557e-14
239,2.8400707659838368e-14
240,2.8178130771467385e-14
241,2.7957415237093805e-14
242,2.773854543696695e-14
243,2.752150588218701e-14
244,2.7306281213616638e-14
245,2.709285620080164e-14
246,2.688121574090016e-14
247,2.6671344857620864e-14
248,2.6463228700169688e-14
249,2.6256852542205073e-14
250,2.605220178080201e-14
251,2.5849261935424224e-14
252,2.5648018646905045e-14
253,2.5448457676436433e-14
254,2.5250564904566336e-14
255,2.505432633020428e-14
256,2.4859728069635074e-14
257,2.466675635554057e-14
258,2.447539753602951e-14
259,2.4285638073675263e-14
260,2.4097464544561486e-14
261,2.3910863637335605e-14
262,2.372582215227008e-14
263,2.3542327000331385e-14
264,2.3360365202256532e-14
265,2.3179923887637407e-14
266,2.3000990294012367e-14
267,2.2823551765965507e-14
268,2.2647595754233282e-14
269,2.2473109814818367e-14
270,2.2300081608111025e-14
271,2.212849889801749e-14
272,2.195834955109572e-14
273,2.17896215356981e-14
274,2.1622302921121352e-14
275,2.1456381876763344e-14
276,2.1291846671286942e-14
277,2.1128685671790697e-14
278,2.096688734298639e-14
279,2.0806440246383392e-14
280,2.0647333039479708e-14
281,2.0489554474959773e-14
282,2.0333093399898772e-14
283,2.0177938754973673e-14
284,2.002407957368061e-14
285,1.9871504981558927e-14
286,1.9720204195421446e-14
287,1.9570166522591254e-14
288,1.9421381360144764e-14
289,1.9273838194160933e-14
290,1.9127526598976892e-14
291,1.8982436236449528e-14
292,1.883855685522339e-14
293,1.869587829000446e-14
294,1.8554390460840076e-14
295,1.841408337240478e-14
296,1.827494711329208e-14
297,1.813697185531208e-14
298,1.8000147852794962e-14
299,1.7864465441900217e-14
300,1.7729915039931603e-14
301,1.7596487144657823e-14
302,1.7464172333638804e-14
303,1.7332961263557605e-14
304,1.7202844669557786e-14
305,1.7073813364586448e-14
306,1.6945858238742515e-14
307,1.681897025863061e-14
308,1.669314046672022e-14
309,1.656835998071016e-14
310,1.644461999289841e-14
311,1.6321911769557075e-14
312,1.620022665031266e-14
