,AGWP_n2o
366,2.5517772409410695e-13
367,2.549437234465103e-13
368,2.547099373799601e-13
369,2.5447636569768336e-13
370,2.5424300820308743e-13
371,2.540098646997599e-13
372,2.5377693499146857e-13
373,2.5354421888216115e-13
374,2.533117161759652e-13
375,2.5307942667718774e-13
376,2.528473501903153e-13
377,2.526154865200139e-13
378,2.5238383547112833e-13
379,2.521523968486826e-13
380,2.519211704578795e-13
381,2.516901561041003e-13
382,2.514593535929048e-13
383,2.5122876273003126e-13
384,2.5099838332139583e-13
385,2.507682151730928e-13
386,2.5053825809139423e-13
387,2.5030851188274986e-13
388,2.5007897635378684e-13
389,2.4984965131130977e-13
390,2.496205365623002e-13
391,2.4939163191391694e-13
392,2.4916293717349544e-13
393,2.48934452148548e-13
394,2.487061766467632e-13
395,2.4847811047600626e-13
396,2.4825025344431824e-13
397,2.4802260535991653e-13
398,2.4779516603119435e-13
399,2.4756793526672043e-13
400,2.473409128752392e-13
401,2.4711409866567047e-13
402,2.4688749244710924e-13
403,2.466610940288255e-13
404,2.4643490322026435e-13
405,2.4620891983104544e-13
406,2.4598314367096303e-13
407,2.4575757454998585e-13
408,2.4553221227825686e-13
409,2.4530705666609316e-13
410,2.4508210752398573e-13
411,2.448573646625994e-13
412,2.4463282789277253e-13
413,2.4440849702551704e-13
414,2.441843718720181e-13
415,2.439604522436341e-13
416,2.437367379518963e-13
417,2.435132288085088e-13
418,2.432899246253485e-13
419,2.430668252144647e-13
420,2.4284393038807896e-13
421,2.4262123995858534e-13
422,2.4239875373854965e-13
423,2.4217647154070964e-13
424,2.419543931779749e-13
425,2.4173251846342646e-13
426,2.415108472103168e-13
427,2.412893792320697e-13
428,2.410681143422799e-13
429,2.4084705235471314e-13
430,2.4062619308330604e-13
431,2.404055363421657e-13
432,2.401850819455698e-13
433,2.399648297079662e-13
434,2.3974477944397304e-13
435,2.3952493096837837e-13
436,2.3930528409614014e-13
437,2.3908583864238587e-13
438,2.388665944224129e-13
439,2.386475512516875e-13
440,2.384287089458456e-13
441,2.3821006732069187e-13
442,2.3799162619220007e-13
443,2.3777338537651265e-13
444,2.3755534468994066e-13
445,2.3733750394896367e-13
446,2.3711986297022933e-13
447,2.369024215705538e-13
448,2.366851795669207e-13
449,2.3646813677648196e-13
450,2.36251293016557e-13
451,2.3603464810463267e-13
452,2.3581820185836325e-13
453,2.356019540955703e-13
454,2.3538590463424245e-13
455,2.3517005329253515e-13
456,2.349543998887706e-13
457,2.347389442414376e-13
458,2.3452368616919145e-13
459,2.343086254908538e-13
460,2.3409376202541226e-13
461,2.338790955920206e-13
462,2.3366462600999836e-13
463,2.3345035309883075e-13
464,2.3323627667816856e-13
465,2.330223965678279e-13
466,2.3280871258779016e-13
467,2.3259522455820185e-13
468,2.323819322993743e-13
469,2.3216883563178365e-13
470,2.319559343760707e-13
471,2.317432283530408e-13
472,2.315307173836634e-13
473,2.313184012890724e-13
474,2.311062798905654e-13
475,2.308943530096042e-13
476,2.306826204678141e-13
477,2.3047108208698404e-13
478,2.3025973768906643e-13
479,2.300485870961769e-13
480,2.2983763013059416e-13
481,2.2962686661476e-13
482,2.294162963712789e-13
483,2.2920591922291816e-13
484,2.2899573499260745e-13
485,2.2878574350343903e-13
486,2.285759445786671e-13
487,2.2836633804170815e-13
488,2.281569237161406e-13
489,2.279477014257045e-13
490,2.277386709943017e-13
491,2.2752983224599543e-13
492,2.2732118500501016e-13
493,2.2711272909573183e-13
494,2.269044643427072e-13
495,2.2669639057064402e-13
496,2.264885076044107e-13
497,2.2628081526903626e-13
498,2.2607331338971028e-13
499,2.2586600179178255e-13
500,2.2565888030076302e-13
501,2.2545194874232166e-13
502,2.252452069422883e-13
503,2.250386547266525e-13
504,2.248322919215634e-13
505,2.2462611835332951e-13
506,2.2442013384841865e-13
507,2.2421433823345782e-13
508,2.2400873133523287e-13
509,2.2380331298068868e-13
510,2.2359808299692864e-13
511,2.233930412112148e-13
512,2.2318818745096756e-13
513,2.2298352154376557e-13
514,2.227790433173457e-13
515,2.2257475259960268e-13
516,2.2237064921858906e-13
517,2.2216673300251507e-13
518,2.2196300377974856e-13
519,2.2175946137881464e-13
520,2.2155610562839585e-13
521,2.2135293635733159e-13
522,2.2114995339461836e-13
523,2.2094715656940948e-13
524,2.207445457110149e-13
525,2.2054212064890114e-13
526,2.2033988121269095e-13
527,2.2013782723216358e-13
528,2.1993595853725411e-13
529,2.1973427495805369e-13
530,2.1953277632480936e-13
531,2.1933146246792368e-13
532,2.191303332179548e-13
533,2.1892938840561621e-13
534,2.1872862786177671e-13
535,2.185280514174602e-13
536,2.1832765890384542e-13
537,2.1812745015226598e-13
538,2.179274249942102e-13
539,2.177275832613209e-13
540,2.1752792478539525e-13
541,2.1732844939838472e-13
542,2.1712915693239485e-13
543,2.1693004721968513e-13
544,2.1673112009266892e-13
545,2.165323753839132e-13
546,2.163338129261385e-13
547,2.1613543255221878e-13
548,2.1593723409518127e-13
549,2.157392173882062e-13
550,2.1554138226462694e-13
551,2.1534372855792954e-13
552,2.151462561017529e-13
553,2.1494896472988833e-13
554,2.1475185427627964e-13
555,2.145549245750229e-13
556,2.143581754603663e-13
557,2.1416160676671e-13
558,2.139652183286061e-13
559,2.1376900998075833e-13
560,2.1357298155802208e-13
561,2.1337713289540414e-13
562,2.1318146382806257e-13
563,2.1298597419130658e-13
564,2.1279066382059652e-13
565,2.1259553255154352e-13
566,2.1240058021990946e-13
567,2.1220580666160688e-13
568,2.1201121171269878e-13
569,2.118167952093984e-13
570,2.1162255698806932e-13
571,2.1142849688522503e-13
572,2.1123461473752907e-13
573,2.1104091038179472e-13
574,2.1084738365498483e-13
575,2.1065403439421188e-13
576,2.1046086243673756e-13
577,2.10267867619973e-13
578,2.1007504978147818e-13
579,2.098824087589623e-13
580,2.0968994439028321e-13
581,2.094976565134475e-13
582,2.0930554496661024e-13
583,2.09113609588075e-13
584,2.0892185021629366e-13
585,2.0873026668986613e-13
586,2.0853885884754037e-13
587,2.0834762652821223e-13
588,2.081565695709253e-13
589,2.079656878148707e-13
590,2.0777498109938712e-13
591,2.075844492639605e-13
592,2.0739409214822397e-13
593,2.0720390959195778e-13
594,2.0701390143508904e-13
595,2.0682406751769173e-13
596,2.0663440767998638e-13
597,2.0644492176234005e-13
598,2.062556096052663e-13
599,2.0606647104942483e-13
600,2.0587750593562146e-13
601,2.056887141048081e-13
602,2.0550009539808236e-13
603,2.0531164965668764e-13
604,2.05123376722013e-13
605,2.0493527643559276e-13
606,2.0474734863910672e-13
607,2.045595931743798e-13
608,2.0437200988338197e-13
609,2.0418459860822808e-13
610,2.0399735919117784e-13
611,2.0381029147463551e-13
612,2.0362339530115006e-13
613,2.0343667051341453e-13
614,2.0325011695426653e-13
615,2.030637344666876e-13
616,2.0287752289380328e-13
617,2.0269148207888308e-13
618,2.0250561186534008e-13
619,2.023199120967311e-13
620,2.021343826167563e-13
621,2.0194902326925922e-13
622,2.0176383389822661e-13
623,2.0157881434778826e-13
624,2.0139396446221696e-13
625,2.0120928408592817e-13
626,2.0102477306348016e-13
627,2.008404312395736e-13
628,2.0065625845905175e-13
629,2.004722545669e-13
630,2.0028841940824598e-13
631,2.0010475282835924e-13
632,1.9992125467265135e-13
633,1.9973792478667558e-13
634,1.9955476301612674e-13
635,1.9937176920684134e-13
636,1.9918894320479703e-13
637,1.9900628485611286e-13
638,1.988237940070489e-13
639,1.9864147050400634e-13
640,1.98459314193527e-13
641,1.9827732492229368e-13
642,1.9809550253712953e-13
643,1.9791384688499832e-13
644,1.977323578130041e-13
645,1.9755103516839118e-13
646,1.9736987879854383e-13
647,1.9718888855098641e-13
648,1.9700806427338302e-13
649,1.9682740581353747e-13
650,1.9664691301939312e-13
651,1.9646658573903284e-13
652,1.962864238206787e-13
653,1.9610642711269205e-13
654,1.9592659546357318e-13
655,1.9574692872196148e-13
656,1.9556742673663492e-13
657,1.953880893565104e-13
658,1.952089164306431e-13
659,1.950299078082268e-13
660,1.948510633385935e-13
661,1.9467238287121342e-13
662,1.944938662556947e-13
663,1.943155133417835e-13
664,1.9413732397936375e-13
665,1.93959298018457e-13
666,1.9378143530922235e-13
667,1.936037357019563e-13
668,1.9342619904709265e-13
669,1.932488251952023e-13
670,1.930716139969933e-13
671,1.928945653033104e-13
672,1.9271767896513536e-13
673,1.9254095483358641e-13
674,1.923643927599184e-13
675,1.921879925955226e-13
676,1.920117541919264e-13
677,1.9183567740079353e-13
678,1.9165976207392368e-13
679,1.9148400806325232e-13
680,1.9130841522085095e-13
681,1.9113298339892647e-13
682,1.9095771244982147e-13
683,1.9078260222601387e-13
684,1.9060765258011688e-13
685,1.9043286336487891e-13
686,1.9025823443318328e-13
687,1.9008376563804838e-13
688,1.8990945683262736e-13
689,1.8973530787020784e-13
690,1.8956131860421215e-13
691,1.8938748888819703e-13
692,1.8921381857585348e-13
693,1.8904030752100663e-13
694,1.888669555776157e-13
695,1.8869376259977384e-13
696,1.8852072844170792e-13
697,1.8834785295777863e-13
698,1.8817513600248003e-13
699,1.8800257743043973e-13
700,1.8783017709641862e-13
701,1.8765793485531085e-13
702,1.8748585056214349e-13
703,1.8731392407207663e-13
704,1.8714215524040315e-13
705,1.8697054392254874e-13
706,1.8679908997407146e-13
707,1.8662779325066203e-13
708,1.864566536081434e-13
709,1.8628567090247068e-13
710,1.861148449897312e-13
711,1.8594417572614422e-13
712,1.8577366296806075e-13
713,1.8560330657196367e-13
714,1.8543310639446737e-13
715,1.852630622923178e-13
716,1.8509317412239213e-13
717,1.8492344174169895e-13
718,1.8475386500737788e-13
719,1.8458444377669957e-13
720,1.8441517790706558e-13
721,1.8424606725600814e-13
722,1.8407711168119028e-13
723,1.8390831104040536e-13
724,1.837396651915773e-13
725,1.8357117399276022e-13
726,1.8340283730213852e-13
727,1.8323465497802652e-13
728,1.8306662687886848e-13
729,1.828987528632385e-13
730,1.8273103278984044e-13
731,1.8256346651750757e-13
732,1.823960539052028e-13
733,1.822287948120182e-13
734,1.8206168909717514e-13
735,1.818947366200241e-13
736,1.8172793724004448e-13
737,1.8156129081684456e-13
738,1.8139479721016144e-13
739,1.8122845627986064e-13
