,AGWP_ch4
470,2.4190162743778788e-12
471,2.4195122574425783e-12
472,2.4200046237491426e-12
473,2.420493401222663e-12
474,2.4209786175641015e-12
475,2.421460300252138e-12
476,2.4219384765449937e-12
477,2.422413173482252e-12
478,2.4228844178866535e-12
479,2.4233522363658823e-12
480,2.423816655314336e-12
481,2.424277700914878e-12
482,2.4247353991405797e-12
483,2.425189775756444e-12
484,2.425640856321119e-12
485,2.4260886661885917e-12
486,2.426533230509873e-12
487,2.4269745742346644e-12
488,2.427412722113015e-12
489,2.4278476986969606e-12
490,2.42827952834215e-12
491,2.428708235209462e-12
492,2.4291338432666028e-12
493,2.4295563762896916e-12
494,2.4299758578648387e-12
495,2.4303923113897013e-12
496,2.4308057600750334e-12
497,2.4312162269462203e-12
498,2.431623734844799e-12
499,2.4320283064299697e-12
500,2.4324299641800878e-12
501,2.4328287303941525e-12
502,2.433224627193277e-12
503,2.433617676522147e-12
504,2.4340079001504673e-12
505,2.4343953196743995e-12
506,2.4347799565179827e-12
507,2.4351618319345464e-12
508,2.435540967008109e-12
509,2.4359173826547666e-12
510,2.4362910996240684e-12
511,2.4366621385003815e-12
512,2.437030519704247e-12
513,2.437396263493717e-12
514,2.4377593899656913e-12
515,2.438119919057234e-12
516,2.4384778705468844e-12
517,2.438833264055951e-12
518,2.4391861190498043e-12
519,2.4395364548391515e-12
520,2.439884290581299e-12
521,2.440229645281413e-12
522,2.440572537793759e-12
523,2.440912986822944e-12
524,2.441251010925131e-12
525,2.4415866285092616e-12
526,2.441919857838255e-12
527,2.442250717030205e-12
528,2.4425792240595605e-12
529,2.4429053967583045e-12
530,2.443229252817114e-12
531,2.4435508097865173e-12
532,2.443870085078039e-12
533,2.444187095965333e-12
534,2.444501859585315e-12
535,2.4448143929392708e-12
536,2.4451247128939705e-12
537,2.4454328361827638e-12
538,2.4457387794066704e-12
539,2.4460425590354592e-12
540,2.4463441914087207e-12
541,2.446643692736926e-12
542,2.4469410791024857e-12
543,2.4472363664607903e-12
544,2.447529570641247e-12
545,2.4478207073483074e-12
546,2.4481097921624884e-12
547,2.448396840541379e-12
548,2.4486818678206433e-12
549,2.448964889215017e-12
550,2.4492459198192886e-12
551,2.4495249746092802e-12
552,2.4498020684428144e-12
553,2.450077216060676e-12
554,2.450350432087567e-12
555,2.4506217310330463e-12
556,2.4508911272924746e-12
557,2.4511586351479376e-12
558,2.4514242687691713e-12
559,2.451688042214475e-12
560,2.4519499694316187e-12
561,2.4522100642587404e-12
562,2.4524683404252404e-12
563,2.452724811552663e-12
564,2.4529794911555753e-12
565,2.453232392642435e-12
566,2.453483529316454e-12
567,2.4537329143764547e-12
568,2.4539805609177157e-12
569,2.4542264819328145e-12
570,2.4544706903124607e-12
571,2.4547131988463254e-12
572,2.4549540202238584e-12
573,2.455193167035104e-12
574,2.4554306517715084e-12
575,2.455666486826716e-12
576,2.455900684497369e-12
577,2.456133256983888e-12
578,2.4563642163912578e-12
579,2.4565935747297973e-12
580,2.4568213439159295e-12
581,2.457047535772942e-12
582,2.457272162031741e-12
583,2.4574952343316023e-12
584,2.4577167642209116e-12
585,2.4579367631579e-12
586,2.4581552425113778e-12
587,2.4583722135614547e-12
588,2.458587687500261e-12
589,2.458801675432658e-12
590,2.4590141883769444e-12
591,2.4592252372655592e-12
592,2.4594348329457715e-12
593,2.4596429861803746e-12
594,2.459849707648366e-12
595,2.4600550079456266e-12
596,2.460258897585592e-12
597,2.4604613869999182e-12
598,2.460662486539144e-12
599,2.460862206473346e-12
600,2.4610605569927873e-12
601,2.4612575482085652e-12
602,2.461453190153247e-12
603,2.461647492781505e-12
604,2.461840465970748e-12
605,2.4620321195217417e-12
606,2.4622224631592276e-12
607,2.462411506532538e-12
608,2.462599259216204e-12
609,2.4627857307105567e-12
610,2.4629709304423267e-12
611,2.4631548677652385e-12
612,2.463337551960598e-12
613,2.4635189922378755e-12
614,2.4636991977352853e-12
615,2.463878177520359e-12
616,2.4640559405905164e-12
617,2.4642324958736282e-12
618,2.4644078522285748e-12
619,2.4645820184458057e-12
620,2.4647550032478867e-12
621,2.4649268152900465e-12
622,2.46509746316072e-12
623,2.465266955382084e-12
624,2.46543530041059e-12
625,2.465602506637493e-12
626,2.465768582389375e-12
627,2.465933535928667e-12
628,2.4660973754541588e-12
629,2.466260109101517e-12
630,2.4664217449437867e-12
631,2.466582290991898e-12
632,2.466741755195161e-12
633,2.466900145441763e-12
634,2.4670574695592586e-12
635,2.467213735315054e-12
636,2.4673689504168926e-12
637,2.4675231225133304e-12
638,2.4676762591942128e-12
639,2.4678283679911434e-12
640,2.4679794563779517e-12
641,2.4681295317711563e-12
642,2.468278601530422e-12
643,2.4684266729590178e-12
644,2.468573753304266e-12
645,2.4687198497579906e-12
646,2.4688649694569647e-12
647,2.4690091194833436e-12
648,2.46915230686511e-12
649,2.4692945385765017e-12
650,2.4694358215384426e-12
651,2.46957616261897e-12
652,2.469715568633657e-12
653,2.469854046346029e-12
654,2.469991602467984e-12
655,2.4701282436602013e-12
656,2.4702639765325515e-12
657,2.470398807644502e-12
658,2.470532743505521e-12
659,2.4706657905754733e-12
660,2.4707979552650175e-12
661,2.4709292439359997e-12
662,2.471059662901841e-12
663,2.4711892184279225e-12
664,2.471317916731971e-12
665,2.4714457639844377e-12
666,2.4715727663088724e-12
667,2.4716989297823005e-12
668,2.4718242604355914e-12
669,2.471948764253826e-12
670,2.4720724471766607e-12
671,2.4721953150986913e-12
672,2.472317373869808e-12
673,2.472438629295553e-12
674,2.4725590871374715e-12
675,2.4726787531134642e-12
676,2.4727976328981305e-12
677,2.4729157321231147e-12
678,2.473033056377447e-12
679,2.4731496112078817e-12
680,2.4732654021192313e-12
681,2.4733804345747024e-12
682,2.473494713996222e-12
683,2.4736082457647692e-12
684,2.473721035220696e-12
685,2.4738330876640515e-12
686,2.473944408354901e-12
687,2.474055002513642e-12
688,2.47416487532132e-12
689,2.474274031919939e-12
690,2.4743824774127704e-12
691,2.4744902168646605e-12
692,2.4745972553023344e-12
693,2.474703597714696e-12
694,2.47480924905313e-12
695,2.4749142142317955e-12
696,2.475018498127923e-12
697,2.475122105582105e-12
698,2.475225041398584e-12
699,2.4753273103455424e-12
700,2.4754289171553853e-12
701,2.475529866525024e-12
702,2.475630163116155e-12
703,2.4757298115555398e-12
704,2.475828816435277e-12
705,2.47592718231308e-12
706,2.476024913712544e-12
707,2.4761220151234184e-12
708,2.4762184910018712e-12
709,2.476314345770753e-12
710,2.4764095838198623e-12
711,2.476504209506203e-12
712,2.4765982271542436e-12
713,2.4766916410561732e-12
714,2.4767844554721544e-12
