,AGWP_ch4
308,1.4684923138059908e-14
309,1.4561000474581765e-14
310,1.4438123565744576e-14
311,1.4316283586667234e-14
312,1.4195471786939791e-14
313,1.4075679489994972e-14
314,1.3956898092485033e-14
315,1.3839119063663901e-14
316,1.372233394477448e-14
317,1.360653434844118e-14
318,1.3491711958067512e-14
319,1.3377858527238832e-14
320,1.3264965879130076e-14
321,1.3153025905918505e-14
322,1.3042030568201414e-14
323,1.2931971894418777e-14
324,1.2822841980280704e-14
325,1.2714632988199755e-14
326,1.2607337146728099e-14
327,1.2500946749999344e-14
328,1.2395454157175126e-14
329,1.2290851791896341e-14
330,1.2187132141739012e-14
331,1.2084287757674777e-14
332,1.198231125353591e-14
333,1.1881195305484825e-14
334,1.1780932651488117e-14
335,1.1681516090794977e-14
336,1.158293848342009e-14
337,1.1485192749630811e-14
338,1.138827186943871e-14
339,1.1292168882095435e-14
340,1.119687688559275e-14
341,1.1102389036166881e-14
342,1.1008698547806987e-14
343,1.0915798691767809e-14
344,1.0823682796086405e-14
345,1.0732344245102969e-14
346,1.0641776478985731e-14
347,1.0551972993259813e-14
348,1.0462927338340103e-14
349,1.037463311906804e-14
350,1.028708399425231e-14
351,1.0200273676213453e-14
352,1.0114195930332293e-14
353,1.0028844574602138e-14
354,9.944213479184835e-15
355,9.860296565970494e-15
356,9.77708780814101e-15
357,9.694581229737187e-15
358,9.612770905229559e-15
359,9.531650959092849e-15
360,9.451215565383953e-15
361,9.371458947323563e-15
362,9.29237537688127e-15
363,9.213959174364196e-15
364,9.136204708009063e-15
365,9.059106393577738e-15
366,8.982658693956186e-15
367,8.906856118756788e-15
368,8.831693223924047e-15
369,8.757164611343578e-15
370,8.683264928454426e-15
371,8.609988867864667e-15
372,8.537331166970233e-15
373,8.465286607576942e-15
374,8.39385001552575e-15
375,8.32301626032113e-15
376,8.252780254762635e-15
377,8.183136954579512e-15
378,8.114081358068446e-15
379,8.045608505734337e-15
380,7.977713479934107e-15
381,7.910391404523538e-15
382,7.843637444507055e-15
383,7.777446805690502e-15
384,7.711814734336805e-15
385,7.646736516824584e-15
386,7.582207479309606e-15
387,7.518222987389134e-15
388,7.454778445769087e-15
389,7.391869297933999e-15
390,7.329491025819786e-15
391,7.267639149489247e-15
392,7.206309226810355e-15
393,7.145496853137189e-15
394,7.085197660993617e-15
395,7.025407319759638e-15
396,6.9661215353603306e-15
397,6.907336049957488e-15
398,6.849046641643812e-15
399,6.791249124139704e-15
400,6.733939346492608e-15
401,6.677113192778884e-15
402,6.62076658180823e-15
403,6.564895466830565e-15
404,6.509495835245386e-15
405,6.454563708313601e-15
406,6.400095140871768e-15
407,6.34608622104877e-15
408,6.292533069984871e-15
409,6.239431841553123e-15
410,6.186778722083157e-15
411,6.134569930087277e-15
412,6.082801715988899e-15
413,6.031470361853237e-15
414,5.980572181120295e-15
415,5.930103518340112e-15
416,5.8800607489102086e-15
417,5.830440278815295e-15
418,5.781238544369139e-15
419,5.732452011958636e-15
420,5.684077177790022e-15
421,5.6361105676372305e-15
422,5.588548736592386e-15
423,5.5413882688184025e-15
424,5.494625777303638e-15
425,5.448257903618668e-15
426,5.4022813176750625e-15
427,5.356692717486246e-15
428,5.311488828930345e-15
429,5.266666405515034e-15
430,5.222222228144389e-15
431,5.178153104887682e-15
432,5.1344558707501635e-15
433,5.091127387445729e-15
434,5.048164543171548e-15
435,5.005564252384576e-15
436,4.963323455579943e-15
437,4.921439119071236e-15
438,4.87990823477262e-15
439,4.8387278199828005e-15
440,4.797894917170807e-15
441,4.757406593763581e-15
442,4.717259941935374e-15
443,4.67745207839891e-15
444,4.637980144198298e-15
445,4.598841304503719e-15
446,4.560032748407819e-15
447,4.521551688723845e-15
448,4.483395361785469e-15
449,4.445561027248299e-15
450,4.408045967893077e-15
451,4.370847489430521e-15
452,4.333962920307845e-15
453,4.297389611516868e-15
454,4.261124936403775e-15
455,4.225166290480484e-15
456,4.189511091237571e-15
457,4.1541567779588195e-15
458,4.119100811537299e-15
459,4.0843406742930184e-15
460,4.049873869792105e-15
461,4.0156979226675045e-15
462,3.981810378441219e-15
463,3.948208803348023e-15
464,3.914890784160668e-15
465,3.881853928016573e-15
466,3.849095862245965e-15
467,3.816614234201487e-15
468,3.784406711089227e-15
469,3.7524709798011785e-15
470,3.720804746749121e-15
471,3.689405737699886e-15
472,3.658271697612039e-15
473,3.627400390473915e-15
474,3.596789599143037e-15
475,3.566437125186872e-15
476,3.5363407887249515e-15
477,3.506498428272318e-15
478,3.476907900584286e-15
479,3.4475670805025043e-15
480,3.418473860802354e-15
481,3.389626152041584e-15
482,3.361021882410274e-15
483,3.3326589975820173e-15
484,3.304535460566397e-15
485,3.2766492515626887e-15
486,3.2489983678147934e-15
487,3.221580823467405e-15
488,3.1943946494233953e-15
489,3.1674378932023935e-15
490,3.1407086188005484e-15
491,3.1142049065515004e-15
492,3.0879248529885157e-15
493,3.061866570707765e-15
494,3.0360281882327903e-15
495,3.0104078498800895e-15
496,2.9850037156258396e-15
497,2.959813960973751e-15
498,2.9348367768240404e-15
499,2.9100703693435e-15
500,2.885512959836658e-15
501,2.8611627846180426e-15
502,2.837018094885519e-15
503,2.8130771565946895e-15
504,2.789338250334347e-15
505,2.765799671203007e-15
506,2.742459728686445e-15
507,2.7193167465363022e-15
508,2.696369062649683e-15
509,2.6736150289497993e-15
510,2.651053011267602e-15
511,2.6286813892244098e-15
512,2.606498556115543e-15
513,2.584502918794935e-15
514,2.562692897560708e-15
515,2.54106692604172e-15
516,2.51962345108507e-15
517,2.498360932644561e-15
518,2.4772778436700877e-15
519,2.4563726699979596e-15
520,2.435643910242173e-15
521,2.4150900756865633e-15
522,2.3947096901779046e-15
523,2.374501290019879e-15
524,2.354463423867967e-15
525,2.334594652625212e-15
526,2.3148935493388555e-15
527,2.295358699097866e-15
528,2.27598869893132e-15
529,2.2567821577076416e-15
530,2.2377376960346877e-15
531,2.2188539461606856e-15
532,2.20012955187601e-15
533,2.1815631684157647e-15
534,2.1631534623632192e-15
535,2.1448991115540394e-15
536,2.1267988049813233e-15
537,2.108851242701454e-15
538,2.0910551357407418e-15
539,2.073409206002845e-15
540,2.0559121861769792e-15
541,2.0385628196469008e-15
542,2.0213598604006642e-15
543,2.0043020729411293e-15
544,1.9873882321972246e-15
545,1.9706171234359758e-15
546,1.953987542175254e-15
547,1.9374982940972804e-15
548,1.921148194962841e-15
549,1.9049360705262488e-15
550,1.888860756451001e-15
551,1.872921098226161e-15
552,1.8571159510834393e-15
553,1.8414441799149855e-15
554,1.8259046591918612e-15
555,1.8104962728832026e-15
556,1.7952179143760718e-15
557,1.780068486395984e-15
558,1.7650469009281e-15
559,1.75015207913908e-15
560,1.7353829512996165e-15
561,1.7207384567075923e-15
562,1.706217543611916e-15
563,1.691819169136974e-15
564,1.677542299207743e-15
565,1.6633859084755191e-15
566,1.6493489802442756e-15
567,1.6354305063976473e-15
568,1.6216294873265334e-15
569,1.6079449318573022e-15
570,1.594375857180603e-15
571,1.5809212887807867e-15
572,1.5675802603659197e-15
573,1.5543518137983763e-15
574,1.5412349990260365e-15
575,1.5282288740140499e-15
576,1.5153325046771773e-15
577,1.5025449648127083e-15
578,1.4898653360339455e-15
579,1.4772927077042435e-15
580,1.4648261768716063e-15
581,1.4524648482038407e-15
582,1.4402078339242562e-15
583,1.428054253747905e-15
584,1.416003234818356e-15
585,1.4040539116450157e-15
586,1.3922054260409606e-15
587,1.380456927061313e-15
588,1.3688075709421162e-15
589,1.3572565210397462e-15
590,1.3458029477708208e-15
591,1.3344460285526167e-15
592,1.3231849477439965e-15
593,1.3120188965868306e-15
594,1.3009470731479127e-15
595,1.2899686822613625e-15
596,1.2790829354715198e-15
597,1.2682890509763222e-15
598,1.2575862535711529e-15
599,1.2469737745931643e-15
600,1.2364508518660809e-15
601,1.2260167296454515e-15
602,1.2156706585643818e-15
603,1.205411895579707e-15
604,1.1952397039186333e-15
605,1.1851533530258238e-15
606,1.1751521185109252e-15
607,1.165235282096547e-15
608,1.1554021315666772e-15
609,1.1456519607155296e-15
610,1.1359840692968234e-15
611,1.126397762973493e-15
612,1.1168923532678262e-15
613,1.1074671575120107e-15
614,1.0981214987991118e-15
615,1.0888547059344567e-15
616,1.079666113387426e-15
617,1.0705550612436596e-15
618,1.0615208951576635e-15
619,1.0525629663058132e-15
620,1.0436806313397555e-15
621,1.0348732523402042e-15
622,1.0261401967711281e-15
623,1.0174808374343212e-15
624,1.0088945524243548e-15
625,1.0003807250839196e-15
626,9.919387439595312e-16
627,9.835680027576225e-16
628,9.752679003009948e-16
629,9.670378404856457e-16
630,9.588772322379572e-16
631,9.50785489472243e-16
632,9.427620310486574e-16
633,9.348062807314618e-16
634,9.269176671476366e-16
635,9.190956237458455e-16
636,9.113395887557475e-16
637,9.03649005147653e-16
638,8.960233205925175e-16
639,8.88461987422269e-16
640,8.809644625904853e-16
641,8.73530207633382e-16
642,8.661586886311493e-16
643,8.588493761696011e-16
644,8.516017453021541e-16
645,8.444152755121317e-16
646,8.372894506753721e-16
647,8.30223759023169e-16
648,8.232176931055117e-16
649,8.162707497546426e-16
650,8.093824300489224e-16
651,8.025522392769924e-16
652,7.957796869022523e-16
653,7.890642865276238e-16
654,7.824055558606199e-16
655,7.758030166787126e-16
656,7.692561947949784e-16
657,7.627646200240504e-16
658,7.563278261483453e-16
659,7.499453508845816e-16
660,7.436167358505817e-16
661,7.373415265323454e-16
662,7.311192722514156e-16
663,7.24949526132502e-16
664,7.188318450713925e-16
665,7.127657897031303e-16
666,7.067509243704551e-16
667,7.007868170925202e-16
668,6.948730395338628e-16
669,6.890091669736435e-16
670,6.831947782751471e-16
671,6.774294558555298e-16
672,6.717127856558347e-16
673,6.660443571112518e-16
674,6.604237631216316e-16
675,6.548506000222504e-16
676,6.493244675548149e-16
677,6.438449688387227e-16
678,6.384117103425513e-16
679,6.330243018557991e-16
680,6.276823564608627e-16
681,6.223854905052439e-16
682,6.171333235740016e-16
683,6.119254784624265e-16
684,6.067615811489518e-16
685,6.016412607682954e-16
686,5.965641495848176e-16
687,5.915298829661172e-16
688,5.865380993568395e-16
689,5.815884402527122e-16
690,5.766805501747986e-16
691,5.718140766439644e-16
692,5.669886701555672e-16
693,5.622039841543517e-16
694,5.574596750095614e-16
695,5.527554019902636e-16
696,5.48090827240871e-16
697,5.43465615756884e-16
698,5.388794353608269e-16
699,5.343319566783927e-16
700,5.298228531147893e-16
701,5.253518008312799e-16
702,5.209184787219314e-16
703,5.165225683905461e-16
704,5.121637541277984e-16
705,5.078417228885624e-16
706,5.03556164269425e-16
707,4.993067704863982e-16
708,4.950932363528098e-16
709,4.909152592573867e-16
710,4.867725391425255e-16
711,4.826647784827356e-16
712,4.785916822632776e-16
713,4.745529579589718e-16
714,4.705483155131907e-16
715,4.665774673170287e-16
716,4.626401281886431e-16
