,AGWP_co2
99,1.3403823663479496e-14
100,1.3519470665830978e-14
101,1.3634900769216411e-14
102,1.3750116712397652e-14
103,1.3865121176834433e-14
104,1.3979916787985256e-14
105,1.4094506116578307e-14
106,1.4208891679853506e-14
107,1.4323075942775703e-14
108,1.443706131922042e-14
109,1.4550850173132108e-14
110,1.466444481965604e-14
111,1.4777847526244134e-14
112,1.4891060513735525e-14
113,1.5004085957412175e-14
114,1.511692598803054e-14
115,1.522958269282933e-14
116,1.5342058116514424e-14
117,1.5454354262220863e-14
118,1.5566473092453152e-14
119,1.5678416530003795e-14
120,1.5790186458850815e-14
121,1.590178472503466e-14
122,1.6013213137515175e-14
123,1.612447346900866e-14
124,1.623556745680607e-14
125,1.634649680357212e-14
126,1.6457263178126383e-14
127,1.6567868216206274e-14
128,1.667831352121264e-14
129,1.6788600664938266e-14
130,1.6898731188279676e-14
131,1.7008706601932612e-14
132,1.711852838707162e-14
133,1.7228197996013992e-14
134,1.7337716852868586e-14
135,1.7447086354169682e-14
136,1.75563078694965e-14
137,1.7665382742078235e-14
138,1.7774312289385545e-14
139,1.7883097803708324e-14
140,1.799174055272017e-14
141,1.810024178003017e-14
142,1.820860270572186e-14
143,1.8316824526879806e-14
144,1.8424908418104366e-14
145,1.8532855532014406e-14
146,1.8640666999738622e-14
147,1.8748343931395667e-14
148,1.8855887416563214e-14
149,1.8963298524736275e-14
150,1.907057830577505e-14
151,1.9177727790342603e-14
152,1.9284747990332328e-14
153,1.9391639899285918e-14
154,1.9498404492801495e-14
155,1.9605042728932535e-14
156,1.9711555548577675e-14
157,1.9817943875861606e-14
158,1.9924208618507158e-14
159,2.003035066819903e-14
160,2.0136370900939016e-14
161,2.024227017739333e-14
162,2.0348049343231765e-14
163,2.0453709229459258e-14
164,2.0559250652739806e-14
165,2.0664674415712997e-14
166,2.0769981307303287e-14
167,2.0875172103022243e-14
168,2.0980247565263856e-14
169,2.1085208443593116e-14
170,2.1190055475027925e-14
171,2.1294789384314743e-14
172,2.1399410884197773e-14
173,2.1503920675682e-14
174,2.1608319448290397e-14
175,2.1712607880315e-14
176,2.1816786639062537e-14
177,2.1920856381094172e-14
178,2.202481775245999e-14
179,2.2128671388927964e-14
180,2.223241791620791e-14
181,2.233605795017005e-14
182,2.2439592097058894e-14
183,2.2543020953701927e-14
184,2.264634510771385e-14
185,2.2749565137695914e-14
186,2.285268161343089e-14
187,2.2955695096073413e-14
188,2.3058606138336195e-14
189,2.3161415284671805e-14
190,2.3264123071450404e-14
191,2.3366730027133468e-14
192,2.3469236672443484e-14
193,2.3571643520529706e-14
194,2.3673951077130364e-14
195,2.3776159840730972e-14
196,2.3878270302719128e-14
197,2.398028294753575e-14
198,2.4082198252822895e-14
199,2.418401668956822e-14
200,2.428573872224617e-14
201,2.4387364808955873e-14
202,2.4488895401556017e-14
203,2.4590330945796562e-14
204,2.4691671881447514e-14
205,2.479291864242481e-14
206,2.4894071656913175e-14
207,2.49951313474864e-14
208,2.5096098131224816e-14
209,2.5196972419829974e-14
210,2.5297754619736922e-14
211,2.5398445132223807e-14
